pergunta,resposta
O que é o GRUB?,"GRand Unified Bootloader, um dos carregadores de inicialização mais comuns para sistemas Linux."
Qual tecla é comumente pressionada durante a inicialização para entrar no menu interativo do GRUB?,"Normalmente `Esc`, `Shift` ou `F-keys`, dependendo da configuração."
"No menu do GRUB, qual tecla é usada para editar os parâmetros de inicialização de uma entrada selecionada?",`e`
"Após editar os parâmetros de inicialização no GRUB, qual combinação de teclas é usada para iniciar o sistema com essas novas opções?",`Ctrl+x` ou `F10`
O que a linha que começa com `linux` ou `linuxefi` na tela de edição do GRUB representa?,Representa o caminho para a imagem do kernel e os parâmetros que serão passados para ele.
O que a linha que começa com `initrd` na tela de edição do GRUB representa?,"Representa o caminho para o disco de RAM inicial (Initial RAM Disk), que contém os módulos necessários para montar o sistema de arquivos raiz."
Como um administrador pode iniciar um sistema Linux em modo de usuário único (single-user mode) a partir do GRUB?,"Editando a linha do kernel e adicionando o parâmetro `single`, `s`, `S` ou `1` no final."
Para qual finalidade se iniciaria o sistema em modo de usuário único?,"Para tarefas de manutenção e recuperação, como resetar a senha de root, pois ele geralmente fornece um shell de root sem pedir senha."
Qual parâmetro pode ser adicionado à linha do kernel no GRUB para forçar a execução de um shell específico em vez do processo init padrão?,`init=/bin/bash`
Para que serve o parâmetro `init=/bin/bash`?,É um método de emergência para obter um shell de root e consertar o sistema quando o processo init normal está falhando.
Qual parâmetro do kernel pode ser usado no GRUB para alterar o nível de verbosidade das mensagens de boot?,"Remover `quiet` e/ou `splash` para ver mais mensagens, ou adicioná-los para uma inicialização mais limpa."
O que o parâmetro `root=` na linha do kernel do GRUB especifica?,Especifica qual dispositivo de bloco contém o sistema de arquivos raiz (root filesystem).
Como o parâmetro `ro` na linha do kernel do GRUB afeta a montagem do sistema de arquivos raiz?,Ele instrui o kernel a montar o sistema de arquivos raiz inicialmente como somente leitura (read-only).
Como o parâmetro `rw` na linha do kernel do GRUB afeta a montagem do sistema de arquivos raiz?,Ele instrui o kernel a montar o sistema de arquivos raiz como leitura e escrita (read-write).
"Se você editar os parâmetros no menu do GRUB, a alteração é permanente?","Não, as alterações feitas no menu de edição do GRUB são temporárias e valem apenas para aquela inicialização específica."
Qual comando pode ser usado na linha de comando do GRUB (acessada pela tecla `c`) para listar arquivos em um disco?,"`ls` (ex: `ls (hd0,msdos1)/`)"
Qual comando pode ser usado na linha de comando do GRUB para exibir o conteúdo de um arquivo?,"`cat` (ex: `cat (hd0,msdos1)/etc/fstab`)"
Como carregar e executar um kernel manualmente a partir da linha de comando do GRUB?,"Usando os comandos `linux /path/to/vmlinuz root=/dev/sda1` e `initrd /path/to/initrd.img`, seguido por `boot`."
