pergunta,resposta
Qual é o comando `yum install [pacote]` e o que ele faz?,"O comando `yum install [pacote]` Instala um pacote e todas as suas dependências. É o comando principal para adicionar novo software.. Exemplo de uso: `sudo yum install htop`. Observações: `O YUM resolve as dependências automaticamente, buscando-as nos repositórios configurados.`."
Qual é o comando `yum update [pacote]` e o que ele faz?,"O comando `yum update [pacote]` Atualiza um pacote específico para a versão mais recente disponível.. Exemplo de uso: `sudo yum update firefox`. Observações: `Se nenhum pacote for especificado, 'yum update' atualizará todos os pacotes instalados no sistema.`."
Qual é o comando `yum remove [pacote]` e o que ele faz?,"O comando `yum remove [pacote]` Remove (desinstala) um pacote, juntamente com as dependências que não são mais necessárias por outros pacotes.. Exemplo de uso: `sudo yum remove htop`. Observações: `Também pode ser usado o alias 'erase'.`."
Qual é o comando `yum list [opção]` e o que ele faz?,"O comando `yum list [opção]` Lista pacotes. As opções podem ser 'installed', 'available', 'updates', etc.. Exemplo de uso: `yum list installed | grep kernel`. Observações: `Sem opções, lista todos os pacotes instalados e disponíveis. É útil para ver o que está no sistema e nos repositórios.`."
Qual é o comando `yum search [palavra-chave]` e o que ele faz?,"O comando `yum search [palavra-chave]` Procura por pacotes nos repositórios cujos nomes ou descrições contenham a palavra-chave.. Exemplo de uso: `yum search web server""""`. Observações: `É a principal ferramenta para encontrar novos softwares quando não se sabe o nome exato do pacote.`."
Qual é o comando `yum info [pacote]` e o que ele faz?,"O comando `yum info [pacote]` Exibe informações detalhadas sobre um pacote, como arquitetura, versão, tamanho, descrição completa, etc.. Exemplo de uso: `yum info httpd`. Observações: `Funciona para pacotes instalados ou disponíveis nos repositórios.`."
Qual é o comando `yum provides [caminho/do/arquivo]` e o que ele faz?,O comando `yum provides [caminho/do/arquivo]` Identifica qual pacote fornece um arquivo específico. Também pode ser usado com o alias 'whatprovides'.. Exemplo de uso: `yum provides /etc/httpd/conf/httpd.conf`. Observações: `Extremamente útil para descobrir a origem de um arquivo ou para encontrar qual pacote instalar para obter um comando específico.`.
Qual é o comando `yum clean all` e o que ele faz?,"O comando `yum clean all` Limpa o cache do YUM, removendo pacotes baixados, metadados e outros arquivos temporários.. Exemplo de uso: `sudo yum clean all`. Observações: `Ajuda a liberar espaço em disco e pode resolver problemas relacionados a metadados de repositório desatualizados.`."
Qual é o comando `yum repolist` e o que ele faz?,"O comando `yum repolist` Lista todos os repositórios de software que o sistema está configurado para usar.. Exemplo de uso: `yum repolist all`. Observações: `Mostra o ID, nome e status (habilitado/desabilitado) dos repositórios.`."
Qual é o comando `yum history` e o que ele faz?,"O comando `yum history` Exibe um histórico de todas as transações (instalações, remoções, atualizações) realizadas pelo YUM.. Exemplo de uso: `sudo yum history`. Observações: `Permite revisar, desfazer (undo) e refazer (redo) transações, o que é uma ferramenta poderosa para administração de sistemas.`."
"Qual é o comando `yum groupinstall [nome do grupo""]""` e o que ele faz?","O comando `yum groupinstall [nome do grupo""]""` Instala um grupo de pacotes pré-definido que serve a um propósito comum, como 'Servidor Web' ou 'Ferramentas de Desenvolvimento'.. Exemplo de uso: `sudo yum groupinstall Development Tools""""`. Observações: `O nome do grupo deve estar entre aspas se contiver espaços.`."
Qual é o comando `yum grouplist` e o que ele faz?,O comando `yum grouplist` Lista todos os grupos de pacotes disponíveis para instalação.. Exemplo de uso: `yum grouplist`. Observações: `Útil para descobrir os grupos de software disponíveis para uma instalação rápida e configurada.`.
Qual é o comando `yum check-update` e o que ele faz?,"O comando `yum check-update` Verifica se há atualizações disponíveis para os pacotes instalados, sem de fato baixá-las ou instalá-las.. Exemplo de uso: `sudo yum check-update`. Observações: `Uma forma segura de ver o que seria atualizado antes de executar 'yum update'.`."
Qual é o comando `yum reinstall [pacote]` e o que ele faz?,O comando `yum reinstall [pacote]` Reinstala um pacote. Útil se os arquivos de um pacote instalado foram corrompidos ou deletados acidentalmente.. Exemplo de uso: `sudo yum reinstall coreutils`. Observações: `Garante que todos os arquivos do pacote sejam restaurados ao seu estado original.`.
