pergunta,resposta
"Qual o propósito principal do comando `lsusb`?","Exibir informações sobre as controladoras USB no sistema e os dispositivos conectados a elas."
"Como exibir uma lista simples de todos os dispositivos USB?","`lsusb`"
"Qual opção do `lsusb` exibe informações detalhadas (verbose) sobre todos os dispositivos?","`-v` ou `--verbose`"
"O que a saída detalhada (`-v`) do `lsusb` inclui?","Descritores de configuração, velocidade atual do dispositivo e descritores de classe (Hub, Audio, HID, etc.)."
"Qual opção do `lsusb` exibe a hierarquia física dos dispositivos USB em um formato de árvore?","`-t` ou `--tree`"
"Como combinar a visualização em árvore com informações detalhadas?","`lsusb -tv`"
"Como selecionar e exibir apenas um dispositivo específico pelo seu número de barramento (bus) e dispositivo (devnum)?","`lsusb -s <bus>:<devnum>` (ex: `lsusb -s 001:002`)"
"Como selecionar e exibir apenas os dispositivos com um ID de fabricante (vendor) e produto (product) específicos?","`lsusb -d <vendor>:<product>` (ex: `lsusb -d 0bda:8153`)"
"Os IDs na opção `-d` do `lsusb` são em decimal ou hexadecimal?","Hexadecimal."
"Os IDs na opção `-s` do `lsusb` são em decimal ou hexadecimal?","Decimal."
"Qual opção do `lsusb` exibe informações detalhadas de um dispositivo específico a partir do seu arquivo de dispositivo em `/dev/bus/usb` (requer root)?","`-D <arquivo_dispositivo>` (ex: `lsusb -D /dev/bus/usb/001/001`)"
"Qual opção do `lsusb` exibe a versão do programa?","`-V` ou `--version`"
"De onde o `lsusb` obtém os nomes legíveis por humanos para os IDs de fabricante e produto?","Ele usa o banco de dados de hardware do `udev`."
"Na saída em árvore (`-t`), o que `Class=root_hub` representa?","A controladora USB principal na placa-mãe ou em uma placa de expansão."
"Na saída em árvore (`-t`), o que `Driver=` indica?","O driver do kernel que está gerenciando o dispositivo."
"Na saída padrão, o que a linha `Bus 002 Device 003: ID 8087:0029 Intel Corp.` representa?","No barramento (Bus) 002, o dispositivo número 003 tem o ID de fabricante 8087 (Intel Corp.) e o ID de produto 0029."
