pergunta,resposta
Qual é o comando `diff [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,"O comando `diff [ARQUIVO1] [ARQUIVO2]` Compara dois arquivos linha por linha e exibe as diferenças. Por padrão, usa o formato 'normal diff'.. Exemplo de uso: `diff original.txt modificado.txt`. Observações: `A saída mostra as linhas que foram adicionadas, deletadas ou modificadas.`."
Qual é o comando `diff -u [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,"O comando `diff -u [ARQUIVO1] [ARQUIVO2]` Exibe as diferenças em formato unificado (unified diff), que é mais compacto e legível, mostrando o contexto das mudanças.. Exemplo de uso: `diff -u old_code.c new_code.c`. Observações: `Este formato é amplamente utilizado em sistemas de controle de versão como Git.`."
Qual é o comando `diff -c [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,"O comando `diff -c [ARQUIVO1] [ARQUIVO2]` Exibe as diferenças em formato de contexto (context diff), mostrando algumas linhas de contexto antes e depois das mudanças.. Exemplo de uso: `diff -c config_v1.conf config_v2.conf`. Observações: `Similar ao formato unificado, mas com uma apresentação ligeiramente diferente.`."
Qual é o comando `diff -q [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,"O comando `diff -q [ARQUIVO1] [ARQUIVO2]` Reporta apenas se os arquivos diferem ou são idênticos, sem mostrar as diferenças em detalhes.. Exemplo de uso: `diff -q file1.txt file2.txt`. Observações: `A opção '-q' significa 'quiet' ou 'brief'. Útil para scripts que precisam apenas saber se há diferenças.`."
Qual é o comando `diff -r [DIRETORIO1] [DIRETORIO2]` e o que ele faz?,"O comando `diff -r [DIRETORIO1] [DIRETORIO2]` Compara recursivamente os arquivos em dois diretórios, incluindo subdiretórios.. Exemplo de uso: `diff -r dir_old dir_new`. Observações: `Útil para comparar versões de projetos inteiros.`."
Qual é o comando `diff -i [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,O comando `diff -i [ARQUIVO1] [ARQUIVO2]` Ignora diferenças de maiúsculas e minúsculas no conteúdo dos arquivos.. Exemplo de uso: `diff -i texto1.txt texto2.txt`. Observações: `A opção '-i' significa 'ignore-case'.`.
Qual é o comando `diff -w [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,"O comando `diff -w [ARQUIVO1] [ARQUIVO2]` Ignora todas as diferenças de espaços em branco (espaços, tabulações, novas linhas) ao comparar as linhas.. Exemplo de uso: `diff -w script1.sh script2.sh`. Observações: `A opção '-w' significa 'ignore-all-space'. Útil para comparar arquivos onde a formatação de espaços não é relevante.`."
Qual é o comando `diff -b [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,O comando `diff -b [ARQUIVO1] [ARQUIVO2]` Ignora mudanças na quantidade de espaços em branco (ex: múltiplos espaços tratados como um único espaço).. Exemplo de uso: `diff -b documento_formatado.txt documento_sem_formatacao.txt`. Observações: `A opção '-b' significa 'ignore-space-change'.`.
Qual é o comando `diff -B [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,O comando `diff -B [ARQUIVO1] [ARQUIVO2]` Ignora mudanças onde as linhas são todas em branco.. Exemplo de uso: `diff -B log_com_vazios.txt log_sem_vazios.txt`. Observações: `A opção '-B' significa 'ignore-blank-lines'.`.
Qual é o comando `diff -y [ARQUIVO1] [ARQUIVO2]` e o que ele faz?,O comando `diff -y [ARQUIVO1] [ARQUIVO2]` Exibe as diferenças lado a lado em duas colunas.. Exemplo de uso: `diff -y file_a.txt file_b.txt`. Observações: `A opção '-y' significa 'side-by-side'. Pode ser combinada com '-W' para definir a largura da saída.`.
