pergunta,resposta
"Qual o propósito do comando `ping`?","Envia datagramas ICMP ECHO_REQUEST para hosts na rede para provocar uma resposta ICMP ECHO_RESPONSE."
"No comando `ping`, o que a opção `-4` faz?","Força o uso de IPv4 apenas."
"No comando `ping`, o que a opção `-6` faz?","Força o uso de IPv6 apenas."
"No comando `ping`, o que a opção `-a` faz?","Ativa o ping audível (emite um som para cada resposta recebida)."
"No comando `ping`, o que a opção `-A` faz?","Ativa o ping adaptativo, onde o intervalo entre pacotes se ajusta ao tempo de ida e volta (RTT)."
"No comando `ping`, o que a opção `-b` faz?","Permite fazer ping em um endereço de broadcast."
"No comando `ping`, o que a opção `-B` faz?","Não permite que o ping altere o endereço de origem das sondas. O endereço fica vinculado ao selecionado no início."
"No comando `ping`, como se define o número de pacotes a serem enviados com a opção `-c`?","`-c count`, onde `count` é o número de pacotes ECHO_REQUEST a serem enviados antes de parar."
"No comando `ping`, o que a opção `-d` faz?","Define a opção de socket SO_DEBUG. Não é usada pelo kernel Linux."
"No comando `ping`, o que a opção `-D` faz?","Imprime um timestamp (tempo unix + microssegundos) antes de cada linha de saída."
"No comando `ping`, o que a opção `-f` faz?","Ativa o 'flood ping', enviando pacotes o mais rápido possível. Requer privilégios de superusuário para intervalos de zero."
"No comando `ping`, para que serve a opção `-F flowlabel` (somente IPv6)?","Aloca e define um 'flow label' de 20 bits (em hexadecimal) nos pacotes de requisição de eco."
"No comando `ping`, o que a opção `-i interval` faz?","Define o intervalo de espera em segundos entre o envio de cada pacote. O padrão é 1 segundo."
"No comando `ping`, para que serve a opção `-I interface`?","Define o endereço de origem ou a interface de origem. Pode ser um endereço IP, nome da interface ou nome de VRF."
"No comando `ping`, o que a opção `-l preload` faz?","Envia `preload` pacotes de uma vez sem esperar por resposta. Apenas superusuário pode usar valores maiores que 3."
"No comando `ping`, o que a opção `-L` faz?","Suprime o loopback de pacotes multicast. Aplica-se apenas se o destino for um endereço multicast."
"No comando `ping`, para que serve a opção `-m mark`?","Usa `mark` para marcar os pacotes de saída, útil para políticas de roteamento no kernel."
"No comando `ping`, o que a opção `-M pmtudisc_opt` controla?","Seleciona a estratégia de Path MTU Discovery. As opções são `do`, `want`, `probe` ou `dont`."
"No comando `ping`, o que a opção `-n` faz?","Apenas saída numérica. Não tenta resolver nomes simbólicos para endereços de host (sem DNS reverso)."
"No comando `ping`, o que a opção `-O` faz?","Relata respostas ICMP ECHO pendentes antes de enviar o próximo pacote."
"No comando `ping`, para que serve a opção `-p pattern`?","Permite especificar até 16 bytes de 'preenchimento' (padrão hexadecimal) para o pacote. Útil para diagnosticar problemas dependentes de dados."
"No comando `ping`, o que a opção `-q` faz?","Saída quieta (quiet). Mostra apenas as linhas de resumo no início e no fim."
"No comando `ping`, para que serve a opção `-Q tos`?","Define os bits de Qualidade de Serviço (ToS) no datagrama ICMP."
"No comando `ping`, o que a opção `-r` faz?","Ignora as tabelas de roteamento normais e envia diretamente para um host em uma interface conectada."
"No comando `ping`, o que a opção `-R` faz?","Grava a rota (Record Route). Inclui a opção RECORD_ROUTE no pacote e exibe o buffer de rota dos pacotes retornados. (Limitado a 9 saltos)."
"No comando `ping`, o que a opção `-s packetsize` define?","Especifica o número de bytes de dados a serem enviados. O padrão é 56."
"No comando `ping`, para que serve a opção `-S sndbuf`?","Define o buffer de envio do socket (sndbuf)."
"No comando `ping`, o que a opção `-t ttl` define?","Define o Time to Live (TTL) do pacote IP."
"No comando `ping`, para que serve a opção `-T timestamp_option`?","Define opções especiais de timestamp IP, como `tsonly` (apenas timestamps) ou `tsandaddr` (timestamps e endereços)."
"No comando `ping`, o que a opção `-U` faz?","Imprime a latência completa de usuário para usuário (comportamento antigo)."
"No comando `ping`, o que a opção `-v` faz?","Saída verbosa. Mostra mais detalhes, como respostas duplicadas."
"No comando `ping`, o que a opção `-V` faz?","Mostra a versão do programa e sai."
"No comando `ping`, o que a opção `-w deadline` faz?","Especifica um tempo limite em segundos antes que o ping saia, independentemente de quantos pacotes foram enviados ou recebidos."
"No comando `ping`, o que a opção `-W timeout` faz?","Define o tempo em segundos a esperar por uma resposta."
"Na saída do `ping`, o que é o `mdev`?","É o desvio padrão da população (population standard deviation), uma média de quão longe cada RTT está da média. Indica a variabilidade do RTT."
"Qual o código de saída do `ping` se ele não receber nenhuma resposta?","Código 1."
"Qual o código de saída do `ping` em caso de outros erros?","Código 2."
"Qual o código de saída do `ping` se tudo ocorrer bem?","Código 0."
