"pergunta","resposta"
"Qual é o comando `mount [DISPOSITIVO] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount [DISPOSITIVO] [PONTO_DE_MONTAGEM]` Monta um sistema de arquivos localizado em um DISPOSITIVO (ex: /dev/sda1) em um PONTO_DE_MONTAGEM (diretório) no sistema de arquivos. Torna o conteúdo do dispositivo acessível através do ponto de montagem.. Exemplo de uso: `sudo mount /dev/sdb1 /mnt/usb`. Observações: `Apenas o superusuário (root) pode montar sistemas de arquivos por padrão.`."
"Qual é o comando `mount -a` e o que ele faz?","O comando `mount -a` Monta todos os sistemas de arquivos listados no arquivo /etc/fstab que não possuem a opção 'noauto'.. Exemplo de uso: `sudo mount -a`. Observações: `Geralmente usado em scripts de inicialização do sistema.`."
"Qual é o comando `mount -t [TIPO_FS] [DISPOSITIVO] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -t [TIPO_FS] [DISPOSITIVO] [PONTO_DE_MONTAGEM]` Especifica o TIPO_FS (tipo de sistema de arquivos) a ser montado (ex: ext4, xfs, vfat, nfs).. Exemplo de uso: `sudo mount -t ext4 /dev/sdc1 /data`. Observações: `Se o tipo não for especificado, o 'mount' tenta adivinhar.`."
"Qual é o comando `mount -o [OPCOES] [DISPOSITIVO] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -o [OPCOES] [DISPOSITIVO] [PONTO_DE_MONTAGEM]` Define opções de montagem específicas. As opções são separadas por vírgulas.. Exemplo de uso: `sudo mount -o ro,noexec /dev/sdd1 /media/cdrom`. Observações: `Opções comuns incluem: ro (somente leitura), rw (leitura e escrita), noexec (não permite execução de binários), nosuid (ignora bits SUID/SGID), noatime (não atualiza tempo de acesso).`."
"Qual é o comando `mount -o remount,ro [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -o remount,ro [PONTO_DE_MONTAGEM]` Remonta um sistema de arquivos já montado, alterando suas opções. Útil para mudar de leitura/escrita para somente leitura, por exemplo.. Exemplo de uso: `sudo mount -o remount,ro /home`. Observações: `Altera o ponto de montagem /home para somente leitura.`."
"Qual é o comando `mount --bind [ORIGEM] [DESTINO]` e o que ele faz?","O comando `mount --bind [ORIGEM] [DESTINO]` Cria um 'bind mount', que remonta uma parte da hierarquia de arquivos em outro local. O conteúdo fica acessível em ambos os lugares.. Exemplo de uso: `sudo mount --bind /var/www/html /srv/web`. Observações: `Útil para tornar um diretório acessível em múltiplos locais sem copiá-lo.`."
"Qual é o comando `mount -L [LABEL] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -L [LABEL] [PONTO_DE_MONTAGEM]` Monta a partição que possui o LABEL (rótulo) especificado. Útil para montar partições por nomes amigáveis.. Exemplo de uso: `sudo mount -L Dados"" /mnt/dados""`. Observações: `O LABEL é um identificador de sistema de arquivos legível por humanos.`."
"Qual é o comando `mount -U [UUID] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -U [UUID] [PONTO_DE_MONTAGEM]` Monta a partição que possui o UUID (Universally Unique Identifier) especificado. Mais robusto que usar nomes de dispositivos como /dev/sda1.. Exemplo de uso: `sudo mount -U 1234-5678-ABCD-EFGH /mnt/backup`. Observações: `O UUID é um identificador único para o sistema de arquivos, que não muda se o dispositivo for renomeado.`."
"Qual é o comando `mount -n [DISPOSITIVO] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -n [DISPOSITIVO] [PONTO_DE_MONTAGEM]` Monta o sistema de arquivos sem escrever uma entrada no arquivo /etc/mtab. Útil em sistemas com sistemas de arquivos somente leitura.. Exemplo de uso: `sudo mount -n /dev/sde1 /tmp/temp_mount`. Observações: `A opção '-n' significa 'no-mtab'.`."
"Qual é o comando `mount -v [DISPOSITIVO] [PONTO_DE_MONTAGEM]` e o que ele faz?","O comando `mount -v [DISPOSITIVO] [PONTO_DE_MONTAGEM]` Exibe informações detalhadas sobre o que está sendo montado.. Exemplo de uso: `sudo mount -v /dev/sdf1 /media/usb_drive`. Observações: `A opção '-v' significa 'verbose'.`."
