"pergunta","resposta"
"O que são 'parâmetros especiais' no Bash?","São parâmetros denotados por um caractere especial, que só podem ser referenciados; a atribuição a eles não é permitida."
"O que o parâmetro especial `*` expande?","Expande para os parâmetros posicionais, começando do um. Quando a expansão ocorre dentro de aspas duplas, expande para uma única palavra com o valor de cada parâmetro separado pelo primeiro caractere da variável `IFS`."
"O que o parâmetro especial `@` expande?","Expande para os parâmetros posicionais, começando do um. Quando a expansão ocorre dentro de aspas duplas, cada parâmetro expande para uma palavra separada."
"Qual a principal diferença entre `$*` e `$@` quando entre aspas duplas?","`""$*""` expande para uma única string, enquanto `""$@""` expande para múltiplas palavras, uma para cada parâmetro posicional. `""$@""` é geralmente o que se deseja."
"O que o parâmetro especial `#` expande?","Expande para o número de parâmetros posicionais em decimal."
"O que o parâmetro especial `?` expande?","Expande para o status de saída do pipeline em primeiro plano executado mais recentemente."
"O que o parâmetro especial `-` expande?","Expande para as flags de opção atuais especificadas na invocação, pelo comando embutido `set`, ou aquelas definidas pelo próprio shell."
"O que o parâmetro especial `$` expande?","Expande para o ID do processo do shell."
"O que o parâmetro especial `!` expande?","Expande para o ID do processo do comando em segundo plano (assíncrono) mais recentemente invocado."
"O que o parâmetro especial `0` expande?","Expande para o nome do shell ou do script do shell."
"Qual a finalidade da variável `_` (sublinhado)?","Na inicialização do shell, é definida para o caminho absoluto usado para invocar o shell. Subsequentemente, expande para o último argumento do comando anterior, após a expansão."
