pergunta,resposta
"Qual o propósito principal do comando `shutdown`?","Desligar (halt), cortar a energia (power off) ou reiniciar a máquina de forma segura."
"Como desligar o sistema imediatamente com `shutdown`?","`shutdown now`"
"Qual é a ação padrão do `shutdown` se nenhuma opção como `-H` ou `-r` for especificada?","`-P` ou `--poweroff` (desliga e corta a energia)."
"Como agendar um desligamento para um horário específico (ex: 22:30)?","`shutdown 22:30`"
"Como agendar um desligamento para daqui a 15 minutos?","`shutdown +15`"
"Como agendar um desligamento para daqui a 10 minutos e enviar uma mensagem de aviso a todos os usuários logados?","`shutdown +10 "O sistema será desligado para manutenção."`"
"Qual opção do `shutdown` é usada para reiniciar a máquina?","`-r` ou `--reboot`"
"Qual opção do `shutdown` é usada para apenas parar a CPU (halt), sem necessariamente cortar a energia?","`-H` ou `--halt`"
"Como cancelar um desligamento agendado?","`shutdown -c`"
"Qual opção do `shutdown` apenas envia a mensagem de aviso (wall message) sem de fato agendar um desligamento?","`-k`"
"O que acontece se o comando `shutdown` for executado sem um argumento de tempo?","Um desligamento é agendado para 1 minuto no futuro (`+1`)."
"Qual arquivo é criado para impedir novos logins quando um desligamento está agendado?","`/run/nologin`"
"Com que antecedência o arquivo `/run/nologin` é criado antes do desligamento agendado?","5 minutos antes."
"Qual opção do `shutdown` suprime o envio da mensagem de aviso para os usuários?","`--no-wall`"
"Como verificar se existe um desligamento agendado e para quando?","`shutdown --show`"
"Qual é a diferença de comportamento do `shutdown` em sistemas `systemd` em comparação com o antigo `SysVinit`?","No `systemd`, o padrão é desligar (`poweroff`). No `SysVinit`, o padrão era ir para o modo de usuário único (runlevel 1)."
"Qual comando do `systemctl` é equivalente a `shutdown -r now`?","`systemctl reboot`"
"Qual comando do `systemctl` é equivalente a `shutdown -H now`?","`systemctl halt`"
"Qual comando do `systemctl` é equivalente a `shutdown -P now`?","`systemctl poweroff`"
