pergunta,resposta
Qual o propósito principal do comando `grub-mkconfig`?,Gerar um novo arquivo de configuração para o GRUB (`grub.cfg`).
Qual opção do `grub-mkconfig` é usada para especificar o arquivo de saída?,`-o <arquivo>`
Qual é o comando e o arquivo de saída padrão para gerar a configuração do GRUB?,`grub-mkconfig -o /boot/grub/grub.cfg`
O `grub-mkconfig` detecta automaticamente os kernels instalados no sistema?,"Sim, ele usa scripts para detectar os kernels do Linux e outros sistemas operacionais (como o Windows) para criar as entradas de menu."
De onde o `grub-mkconfig` obtém sua configuração padrão?,Do arquivo `/etc/default/grub`.
Qual variável no `/etc/default/grub` define o tempo de espera (timeout) do menu do GRUB?,`GRUB_TIMEOUT`
Qual variável no `/etc/default/grub` define a entrada de menu padrão a ser inicializada?,`GRUB_DEFAULT`
Qual variável no `/etc/default/grub` contém os parâmetros de linha de comando a serem passados para o kernel Linux?,"`GRUB_CMDLINE_LINUX_DEFAULT` (para entradas normais) e `GRUB_CMDLINE_LINUX` (para todas as entradas, incluindo o modo de recuperação)."
O que o `grub-mkconfig` faz com os arquivos no diretório `/etc/grub.d/`?,Ele os executa em ordem alfanumérica para construir o arquivo `grub.cfg`. Cada script é responsável por uma seção do arquivo final.
Qual script em `/etc/grub.d/` é geralmente responsável por detectar os kernels do Linux?,`10_linux`
Qual script em `/etc/grub.d/` é geralmente responsável por detectar outros sistemas operacionais?,`30_os-prober`
Qual script em `/etc/grub.d/` permite adicionar entradas de menu personalizadas?,`40_custom`. As entradas devem ser adicionadas a este arquivo para que persistam após as atualizações.
"Após editar o arquivo `/etc/default/grub` ou os scripts em `/etc/grub.d/`, o que deve ser feito para que as alterações tenham efeito?",Executar o comando `grub-mkconfig -o /boot/grub/grub.cfg` novamente.
O que o comando `os-prober` faz e como ele se relaciona com o `grub-mkconfig`?,O `os-prober` é uma ferramenta que varre outras partições em busca de sistemas operacionais. O script `30_os-prober` do `grub-mkconfig` o utiliza para adicionar outros sistemas ao menu do GRUB.
É necessário executar `grub-install` depois de executar `grub-mkconfig`?,"Não. `grub-install` instala o bootloader, enquanto `grub-mkconfig` atualiza sua configuração. São operações distintas."
