"pergunta","resposta"
"Qual a finalidade do comando embutido `.` ou `source` no Bash?","O comando `.` (ou `source`) lê e executa comandos de um arquivo no ambiente do shell atual."
"Qual a finalidade do comando embutido `alias` no Bash?","O comando `alias` permite que uma string seja substituída por uma palavra quando usada como a primeira palavra de um comando simples."
"Qual a finalidade do comando embutido `bg` no Bash?","O comando `bg` (background) retoma cada tarefa suspensa em segundo plano."
"Qual a finalidade do comando embutido `bind` no Bash?","O comando `bind` exibe as ligações atuais de teclas e funções do `readline`"," liga uma sequência de teclas a uma função ou macro do `readline`"," ou define uma variável do `readline`."
"Qual a finalidade do comando embutido `break` no Bash?","O comando `break` sai de um loop `for`"," `while`"," `until` ou `select`."
"Qual a finalidade do comando embutido `builtin` no Bash?","O comando `builtin` executa o comando embutido do shell especificado"," passando-lhe argumentos"," e retorna seu status de saída."
"Qual a finalidade do comando embutido `caller` no Bash?","O comando `caller` retorna o contexto de qualquer chamada de sub-rotina ativa (uma função shell ou um script executado com `.` ou `source`)."
"Qual a finalidade do comando embutido `cd` no Bash?","O comando `cd` (change directory) muda o diretório atual."
"Qual a finalidade do comando embutido `command` no Bash?","O comando `command` executa um comando"," suprimindo a pesquisa normal de funções do shell. Apenas comandos embutidos ou comandos encontrados no `PATH` são executados."
"Qual a finalidade do comando embutido `compgen` no Bash?","O comando `compgen` gera possíveis correspondências de conclusão para uma palavra de acordo com as opções."
"Qual a finalidade do comando embutido `complete` no Bash?","O comando `complete` especifica como os argumentos para cada nome devem ser completados."
"Qual a finalidade do comando embutido `compopt` no Bash?","O comando `compopt` modifica as opções de conclusão para cada nome ou para a conclusão atualmente em execução."
"Qual a finalidade do comando embutido `continue` no Bash?","O comando `continue` retoma a próxima iteração do loop `for`"," `while`"," `until` ou `select`."
"Qual a finalidade do comando embutido `declare` ou `typeset` no Bash?","Os comandos `declare` (ou `typeset`) declaram variáveis e/ou lhes dão atributos."
"Qual a finalidade do comando embutido `dirs` no Bash?","O comando `dirs` exibe a lista de diretórios atualmente lembrados."
"Qual a finalidade do comando embutido `disown` no Bash?","O comando `disown` remove cada `jobspec` da tabela de tarefas ativas."
"Qual a finalidade do comando embutido `echo` no Bash?","O comando `echo` exibe os argumentos"," separados por espaços"," seguidos por uma nova linha."
"Qual a finalidade do comando embutido `enable` no Bash?","O comando `enable` habilita e desabilita comandos embutidos do shell."
"Qual a finalidade do comando embutido `eval` no Bash?","O comando `eval` lê e concatena os argumentos em um único comando"," que é então lido e executado pelo shell."
"Qual a finalidade do comando embutido `exec` no Bash?","O comando `exec` substitui o shell pelo comando especificado"," sem criar um novo processo."
"Qual a finalidade do comando embutido `exit` no Bash?","O comando `exit` faz com que o shell saia com um status `n`."
"Qual a finalidade do comando embutido `export` no Bash?","O comando `export` marca os nomes fornecidos para exportação automática para o ambiente de comandos subsequentemente executados."
"Qual a finalidade do comando embutido `fc` no Bash?","O comando `fc` seleciona um intervalo de comandos da lista de histórico e os exibe ou edita e reexecuta."
"Qual a finalidade do comando embutido `fg` no Bash?","O comando `fg` (foreground) retoma uma tarefa em primeiro plano."
"Qual a finalidade do comando embutido `getopts` no Bash?","O comando `getopts` é usado por procedimentos de shell para analisar parâmetros posicionais."
"Qual a finalidade do comando embutido `hash` no Bash?","O comando `hash` determina e lembra o caminho completo do nome do comando"," pesquisando os diretórios em `$PATH`."
"Qual a finalidade do comando embutido `help` no Bash?","O comando `help` exibe informações úteis sobre comandos embutidos."
"Qual a finalidade do comando embutido `history` no Bash?","O comando `history` exibe a lista de histórico de comandos com números de linha."
"Qual a finalidade do comando embutido `jobs` no Bash?","O comando `jobs` lista as tarefas ativas."
"Qual a finalidade do comando embutido `kill` no Bash?","O comando `kill` envia um sinal para os processos especificados."
"Qual a finalidade do comando embutido `let` no Bash?","O comando `let` avalia cada argumento como uma expressão aritmética."
