pergunta,resposta
"O que é o `sysfs`?","É um pseudo-sistema de arquivos (virtual) fornecido pelo kernel Linux que exporta informações sobre dispositivos e drivers do modelo de dispositivo do kernel para o espaço do usuário."
"Onde o `sysfs` é tipicamente montado no sistema de arquivos?","Em `/sys`."
"Os arquivos em `/sys` existem em um disco físico?","Não, eles são criados e mantidos na memória pelo kernel."
"Qual é o principal propósito do `sysfs`?","Fornecer uma visão estruturada e unificada dos dispositivos e barramentos do sistema, permitindo que utilitários do espaço do usuário (como o `udev`) os consultem e configurem."
"Qual a relação entre `sysfs` e o `udev`?","O `udev` monitora eventos no `sysfs` e usa os atributos dos arquivos de lá para criar e nomear os arquivos de dispositivo em `/dev`."
"Como a estrutura de diretórios em `/sys` é organizada?","É organizada em uma hierarquia que reflete a topologia do sistema, com diretórios principais como `block`, `bus`, `class`, `devices` e `firmware`."
"O que o diretório `/sys/bus` contém?","Subdiretórios para cada tipo de barramento físico ou virtual no sistema (ex: `pci`, `usb`, `scsi`)."
"Dentro de `/sys/bus/pci/devices`, o que os links simbólicos representam?","Representam cada dispositivo PCI no sistema, apontando para seus diretórios correspondentes em `/sys/devices`."
"O que o diretório `/sys/class` contém?","Uma representação dos dispositivos agrupados por sua classe funcional (ex: `/sys/class/net` para interfaces de rede, `/sys/class/input` para dispositivos de entrada)."
"É possível modificar o comportamento de um driver ou dispositivo escrevendo em arquivos no `sysfs`?","Sim, alguns arquivos em `/sys` são graváveis e permitem alterar parâmetros do dispositivo ou driver em tempo real. Requer privilégios de root."
"Qual é um exemplo de alteração de parâmetro via `sysfs`?","Alterar o brilho da tela de um laptop escrevendo um valor em `/sys/class/backlight/acpi_video0/brightness`."
"Qual comando pode ser usado para explorar a árvore de dispositivos no `sysfs` de uma forma amigável?","`systool` (embora não seja sempre instalado por padrão)."
"Como o `sysfs` se relaciona com o comando `lspci`?","O `lspci` (e `lsusb`, etc.) obtém a maior parte de suas informações lendo os arquivos e a estrutura de diretórios dentro do `sysfs`."
"O que o arquivo `uevent` dentro de um diretório de dispositivo em `/sys` é usado para?","Pode ser usado para solicitar ao kernel que regenere um evento de `uevent` para aquele dispositivo, o que pode ser útil para testar regras do `udev`."
"O `sysfs` substituiu qual mecanismo mais antigo de informações do kernel?","Ele substituiu parcialmente o sistema de arquivos `/proc` para informações específicas de dispositivos, embora `/proc` ainda seja usado para informações de processos e outros dados do kernel."
