pergunta,resposta
"Qual é o comando `sed 's/PADRAO/SUBSTITUICAO/' [arquivo]` e o que ele faz?","O comando `sed 's/PADRAO/SUBSTITUICAO/' [arquivo]` Substitui a primeira ocorrência de PADRAO por SUBSTITUICAO em cada linha do arquivo. A saída é para a saída padrão. Exemplo de uso: `sed 's/old/new/' texto.txt`. Observações: `O comando 's' é para substituição. Por padrão, substitui apenas a primeira ocorrência por linha.`."
"Qual é o comando `sed 's/PADRAO/SUBSTITUICAO/g' [arquivo]` e o que ele faz?","O comando `sed 's/PADRAO/SUBSTITUICAO/g' [arquivo]` Substitui TODAS as ocorrências de PADRAO por SUBSTITUICAO em cada linha do arquivo. Exemplo de uso: `sed 's/erro/ERRO/g' log.txt`. Observações: `O 'g' no final significa 'global'.`."
"Qual é o comando `sed -i 's/PADRAO/SUBSTITUICAO/g' [arquivo]` e o que ele faz?","O comando `sed -i 's/PADRAO/SUBSTITUICAO/g' [arquivo]` Edita o arquivo no local (in-place), salvando as alterações diretamente no arquivo original. Exemplo de uso: `sed -i 's/localhost/127.0.0.1/g' config.conf`. Observações: `Use com cautela, pois as alterações são permanentes. Para criar um backup, use '-i.bak'.`."
"Qual é o comando `sed -i.bak 's/PADRAO/SUBSTITUICAO/g' [arquivo]` e o que ele faz?","O comando `sed -i.bak 's/PADRAO/SUBSTITUICAO/g' [arquivo]` Edita o arquivo no local e cria um backup do arquivo original com a extensão '.bak'. Exemplo de uso: `sed -i.bak 's/http/https/g' urls.txt`. Observações: `O backup é útil para reverter as alterações se algo der errado.`."
"Qual é o comando `sed '/PADRAO/d' [arquivo]` e o que ele faz?","O comando `sed '/PADRAO/d' [arquivo]` Deleta as linhas que contêm o PADRAO. Exemplo de uso: `sed '/^#/d' script.sh`. Observações: `O comando 'd' é para deletar. Útil para remover comentários ou linhas indesejadas.`."
"Qual é o comando `sed '/PADRAO1/,/PADRAO2/d' [arquivo]` e o que ele faz?","O comando `sed '/PADRAO1/,/PADRAO2/d' [arquivo]` Deleta um bloco de linhas que começa com PADRAO1 e termina com PADRAO2 (inclusive). Exemplo de uso: `sed '/BEGIN/,/END/d' codigo.txt`. Observações: `Útil para remover seções inteiras de um arquivo.`."
"Qual é o comando `sed -n '/PADRAO/p' [arquivo]` e o que ele faz?","O comando `sed -n '/PADRAO/p' [arquivo]` Exibe apenas as linhas que contêm o PADRAO. A opção '-n' suprime a saída padrão, e 'p' imprime as linhas correspondentes. Exemplo de uso: `sed -n '/ERROR/p' syslog`. Observações: `Similar ao 'grep', mas com a flexibilidade do 'sed'.`."
"Qual é o comando `sed '/[PADRAO]/!d' [arquivo]` e o que ele faz?","O comando `sed '/[PADRAO]/!d' [arquivo]` Deleta as linhas que NÃO contêm o PADRAO. Equivalente a '-n '/PADRAO/p''. Exemplo de uso: `sed '/^$/d' arquivo.txt`. Observações: `Remove linhas em branco (linhas que contêm apenas o caractere de nova linha).`."
"Qual é o comando `sed 's/^/#/' [arquivo]` e o que ele faz?","O comando `sed 's/^/#/' [arquivo]` Adiciona um caractere (neste caso, '#') no início de cada linha. Exemplo de uso: `sed 's/^/#/' config.ini`. Observações: `Útil para comentar linhas em arquivos de configuração.`."
"Qual é o comando `sed 's/$/;/' [arquivo]` e o que ele faz?","O comando `sed 's/$/;/' [arquivo]` Adiciona um caractere (neste caso, ';') no final de cada linha. Exemplo de uso: `sed 's/$/;/' lista.txt`. Observações: `Útil para adicionar delimitadores ou terminadores de linha.`."
