"pergunta","resposta"
"Qual é o comando `awk '{ print }' [arquivo]` e o que ele faz?","O comando `awk '{ print }' [arquivo]` Processa um arquivo linha por linha. Por padrão, se nenhuma condição for especificada, 'awk' executa a ação para cada linha. Neste caso, 'print' imprime a linha inteira.. Exemplo de uso: `awk '{ print }' dados.txt`. Observações: `É o equivalente a 'cat' usando awk. O 'awk' é uma linguagem de programação completa para processamento de texto.`."
"Qual é o comando `awk '{ print $1, $3 }' [arquivo]` e o que ele faz?","O comando `awk '{ print $1, $3 }' [arquivo]` Imprime campos específicos de cada linha. $1 representa o primeiro campo, $2 o segundo, e assim por diante. Os campos são separados por espaços por padrão.. Exemplo de uso: `awk '{ print $1, $3 }' /etc/passwd`. Observações: `Imprime o nome de usuário e o UID do arquivo /etc/passwd.`."
"Qual é o comando `awk -F ':' '{ print $1, $NF }' [arquivo]` e o que ele faz?","O comando `awk -F ':' '{ print $1, $NF }' [arquivo]` Define o delimitador de campo (FS) para um caractere específico (neste caso, ':'). $NF representa o último campo.. Exemplo de uso: `awk -F ':' '{ print $1, $NF }' /etc/passwd`. Observações: `Útil para processar arquivos com delimitadores diferentes de espaço, como arquivos de configuração ou CSV.`."
"Qual é o comando `awk '/PADRAO/ { print }' [arquivo]` e o que ele faz?","O comando `awk '/PADRAO/ { print }' [arquivo]` Executa uma ação apenas para as linhas que correspondem a um PADRAO (expressão regular).. Exemplo de uso: `awk '/ERROR/ { print }' log.txt`. Observações: `Similar ao 'grep', mas com a capacidade de realizar ações mais complexas nas linhas correspondentes.`."
"Qual é o comando `awk 'BEGIN { print Cabeçalho"" } { print } END { print ""Rodapé"" }' [arquivo]""` e o que ele faz?","O comando `awk 'BEGIN { print Cabeçalho"" } { print } END { print ""Rodapé"" }' [arquivo]""` Blocos BEGIN são executados antes de processar qualquer linha, e blocos END são executados após processar todas as linhas.. Exemplo de uso: `awk 'BEGIN { print Início do Relatório"" } { print $1 } END { print ""Fim do Relatório"" }' lista.txt""`. Observações: `Útil para adicionar cabeçalhos e rodapés ou para inicializar/finalizar variáveis.`."
"Qual é o comando `awk '{ sum += $1 } END { print sum }' [arquivo]` e o que ele faz?","O comando `awk '{ sum += $1 } END { print sum }' [arquivo]` Realiza cálculos e agrega dados. Neste exemplo, soma o primeiro campo de todas as linhas.. Exemplo de uso: `awk '{ sum += $1 } END { print sum }' numeros.txt`. Observações: `Pode ser usado para somar colunas, calcular médias, etc.`."
"Qual é o comando `awk '{ if ($3 > 100) print $0 }' [arquivo]` e o que ele faz?","O comando `awk '{ if ($3 > 100) print $0 }' [arquivo]` Usa estruturas condicionais (if) para filtrar linhas com base em critérios complexos.. Exemplo de uso: `awk '{ if ($3 > 100) print $0 }' vendas.csv`. Observações: `Imprime linhas onde o terceiro campo é maior que 100.`."
"Qual é o comando `awk '{ gsub(/old/, new""); print }' [arquivo]""` e o que ele faz?","O comando `awk '{ gsub(/old/, new""); print }' [arquivo]""` Substitui todas as ocorrências de uma string por outra dentro de uma linha. 'gsub' é para substituição global.. Exemplo de uso: `awk '{ gsub(/erro/, ERRO""); print }' log.txt""`. Observações: `Similar ao 'sed -g', mas com a capacidade de integrar em lógicas mais complexas.`."
"Qual é o comando `awk '{ sub(/old/, new""); print }' [arquivo]""` e o que ele faz?","O comando `awk '{ sub(/old/, new""); print }' [arquivo]""` Substitui a primeira ocorrência de uma string por outra dentro de uma linha. 'sub' é para substituição de uma única ocorrência.. Exemplo de uso: `awk '{ sub(/primeiro/, novo""); print }' texto.txt""`. Observações: `Útil quando apenas a primeira ocorrência precisa ser alterada.`."
"Qual é o comando `awk '{ print NR, $0 }' [arquivo]` e o que ele faz?","O comando `awk '{ print NR, $0 }' [arquivo]` Variáveis embutidas: NR (número do registro/linha atual), NF (número de campos na linha atual), FILENAME (nome do arquivo atual).. Exemplo de uso: `awk '{ print NR, $0 }' lista.txt`. Observações: `Imprime o número da linha seguido do conteúdo da linha.`."
"Qual é o comando `awk '{ print $NF }' [arquivo]` e o que ele faz?","O comando `awk '{ print $NF }' [arquivo]` Imprime o último campo de cada linha.. Exemplo de uso: `awk '{ print $NF }' /etc/passwd`. Observações: `Útil para extrair o último elemento de uma linha, independentemente do número de campos.`."
"Qual é o comando `awk '{ print length($0) }' [arquivo]` e o que ele faz?","O comando `awk '{ print length($0) }' [arquivo]` Funções embutidas: length() retorna o comprimento de uma string. Outras incluem substr(), index(), tolower(), toupper().. Exemplo de uso: `awk '{ print length($0) }' texto.txt`. Observações: `Imprime o número de caracteres em cada linha.`."
"awk 'BEGIN { FS=","; OFS=:"" } { print $1"," $2 }' [arquivo]""","Define o delimitador de campo de entrada (FS) e o delimitador de campo de saída (OFS).","awk 'BEGIN { FS=","; OFS=:"" } { print $1"," $2 }' dados.csv""","Converte um arquivo CSV para um formato delimitado por dois pontos."
