pergunta,resposta
"Qual o propósito principal do comando `parted`?","É um programa para manipular tabelas de partição de disco, que pode ser usado tanto de forma interativa quanto em scripts."
"Como o `parted` pode ser usado de forma não interativa (para scripts)?","Passando o dispositivo e os comandos diretamente na linha de comando, juntamente com a opção `-s` (`--script`)."
"Qual opção do `parted` lista as tabelas de partição de todos os dispositivos de bloco?","`-l` ou `--list`"
"Como iniciar o `parted` no modo interativo para um disco específico (ex: /dev/sdb)?","`parted /dev/sdb`"
"No modo interativo do `parted`, qual comando exibe a tabela de partição atual?","`print`"
"No modo interativo do `parted`, qual comando cria uma nova tabela de partição (disklabel)?","`mklabel <tipo>` (ex: `mklabel gpt` ou `mklabel msdos`)"
"No modo interativo do `parted`, qual comando cria uma nova partição?","`mkpart`"
"Quais informações o comando `mkpart` solicita ao ser executado?","Tipo de partição (para MBR), nome (para GPT), tipo de sistema de arquivos (opcional), setor inicial e setor final."
"No modo interativo do `parted`, qual comando remove uma partição?","`rm <número_da_partição>`"
"No modo interativo do `parted`, qual comando redimensiona uma partição?","`resizepart <número_da_partição> <novo_setor_final>`"
"O `parted resizepart` também redimensiona o sistema de arquivos dentro da partição?","Não, ele apenas altera o tamanho da partição. O sistema de arquivos deve ser redimensionado separadamente."
"No modo interativo do `parted`, qual comando define uma 'flag' em uma partição?","`set <número_da_partição> <flag> <on|off>`"
"Qual é a 'flag' usada no `parted` para marcar uma partição como inicializável (bootable) em uma tabela MBR?","`boot`"
"Qual é a 'flag' usada no `parted` para marcar uma partição como EFI System Partition (ESP) em uma tabela GPT?","`esp`"
"No modo interativo do `parted`, qual comando permite alterar as unidades de medida (ex: setores, MB, GB, %)?","`unit <unidade>` (ex: `unit s`, `unit GiB`, `unit %`)"
"Como criar uma partição primária ext4 de 20GB em /dev/sda usando `parted` em modo de script?","`parted -s /dev/sda mkpart primary ext4 1GB 21GB` (assumindo que o espaço de 1GB a 21GB está livre)"
"Como criar uma tabela de partição GPT em /dev/sdb usando `parted` em modo de script?","`parted -s /dev/sdb mklabel gpt`"
"Qual opção do `parted` exibe a saída em um formato fácil de ser processado por scripts (machine parseable)?","`-m` ou `--machine`"
"Qual comando do `parted` pode ser usado para tentar resgatar uma partição perdida dentro de um intervalo de setores?","`rescue <início> <fim>`"
"Qual a principal diferença entre `fdisk` e `parted`?","`fdisk` é estritamente interativo. `parted` pode ser usado de forma interativa ou em scripts, e também pode criar sistemas de arquivos com `mkpartfs` (embora `mkpart` seja mais comum)."
