"pergunta","resposta"
"O que é uma ""variável shell"" no Bash?","Uma variável shell é um parâmetro denotado por um nome que armazena valores."
"Como uma variável shell é atribuída no Bash?","Uma variável pode ser atribuída por uma declaração do formato `nome=[valor]`."
"O que acontece se o `valor` não for fornecido em uma atribuição de variável?","Se o `valor` não for fornecido"," a variável é atribuída à string nula."
"O que o operador `+=` faz em uma atribuição de variável no Bash?","O operador `+=` pode ser usado para anexar ou adicionar ao valor anterior da variável."
"O que é um ""nameref"" no Bash?","Um ""nameref"" é uma referência a outra variável"," criada usando a opção `-n` do comando `declare` ou `local`."
"Quais são os ""parâmetros posicionais"" no Bash?","Parâmetros posicionais são parâmetros denotados por um ou mais dígitos"," exceto o dígito único 0"," atribuídos a partir dos argumentos do shell quando ele é invocado."
"Quais são os ""parâmetros especiais"" no Bash?","Parâmetros especiais são tratados de forma especial pelo shell e só podem ser referenciados"," não atribuídos. Exemplos incluem `*`"," `@`"," `#`"," `?`"," `-`"," `$`"," `!`"," `0`."
"O que o parâmetro especial `*` expande?","`*` expande para os parâmetros posicionais"," a partir do um. Quando não está entre aspas duplas"," cada parâmetro posicional expande para uma palavra separada."
"O que o parâmetro especial `@` expande?","`@` expande para os parâmetros posicionais"," a partir do um. Quando entre aspas duplas"," cada parâmetro expande para uma palavra separada."
"O que o parâmetro especial `#` expande?","`#` expande para o número de parâmetros posicionais em decimal."
"O que o parâmetro especial `?` expande?","`?` expande para o status de saída do pipeline em primeiro plano executado mais recentemente."
"O que o parâmetro especial `-` expande?","`-` expande para as flags de opção atuais"," conforme especificado na invocação"," pelo comando embutido `set`"," ou aquelas definidas pelo próprio shell."
"O que o parâmetro especial `$` expande?","`$` expande para o ID do processo do shell."
"O que o parâmetro especial `!` expande?","`!` expande para o ID do processo da tarefa mais recentemente colocada em segundo plano."
"O que o parâmetro especial `0` expande?","`0` expande para o nome do shell ou script shell."
"Qual a finalidade da variável `_` no Bash?","`_` expande para o último argumento do comando simples anterior executado em primeiro plano. Também é definido para o caminho completo usado para invocar cada comando executado e colocado no ambiente exportado para esse comando."
"Qual a finalidade da variável `BASH` no Bash?","`BASH` expande para o nome de arquivo completo usado para invocar esta instância do Bash."
"Qual a finalidade da variável `BASHOPTS` no Bash?","`BASHOPTS` é uma lista de opções de shell ativadas"," separadas por dois pontos."
"Qual a finalidade da variável `BASHPID` no Bash?","`BASHPID` expande para o ID do processo do processo Bash atual."
"Qual a finalidade da variável `BASH_ALIASES` no Bash?","`BASH_ALIASES` é uma variável de array associativo cujos membros correspondem à lista interna de aliases."
"Qual a finalidade da variável `BASH_ARGC` no Bash?","`BASH_ARGC` é uma variável de array cujos valores são o número de parâmetros em cada quadro da pilha de chamadas de execução do Bash atual."
"Qual a finalidade da variável `BASH_ARGV` no Bash?","`BASH_ARGV` é uma variável de array contendo todos os parâmetros na pilha de chamadas de execução do Bash atual."
"Qual a finalidade da variável `BASH_ARGV0` no Bash?","`BASH_ARGV0` expande para o nome do shell ou script shell (idêntico a `$0`)."
"Qual a finalidade da variável `BASH_CMDS` no Bash?","`BASH_CMDS` é uma variável de array associativo cujos membros correspondem à tabela hash interna de comandos."
"Qual a finalidade da variável `BASH_COMMAND` no Bash?","`BASH_COMMAND` é o comando atualmente sendo executado ou prestes a ser executado."
"Qual a finalidade da variável `BASH_EXECUTION_STRING` no Bash?","`BASH_EXECUTION_STRING` é o argumento de comando para a opção de invocação `-c`."
"Qual a finalidade da variável `BASH_LINENO` no Bash?","`BASH_LINENO` é uma variável de array cujos membros são os números de linha nos arquivos de origem onde cada membro correspondente de `FUNCNAME` foi invocado."
"Qual a finalidade da variável `BASH_LOADABLES_PATH` no Bash?","`BASH_LOADABLES_PATH` é uma lista de diretórios separados por dois pontos onde o shell procura por builtins carregáveis dinamicamente."
"Qual a finalidade da variável `BASH_REMATCH` no Bash?","`BASH_REMATCH` é uma variável de array cujos membros são atribuídos pelo operador binário `=~` ao comando condicional `[[`."
"Qual a finalidade da variável `BASH_SOURCE` no Bash?","`BASH_SOURCE` é uma variável de array cujos membros são os nomes de arquivo de origem onde os nomes de função shell correspondentes em `FUNCNAME` são definidos."
"Qual a finalidade da variável `BASH_SUBSHELL` no Bash?","`BASH_SUBSHELL` é incrementado em um dentro de cada subshell ou ambiente de subshell quando o shell começa a executar nesse ambiente."
"Qual a finalidade da variável `BASH_VERSINFO` no Bash?","`BASH_VERSINFO` é uma variável de array somente leitura cujos membros contêm informações de versão para esta instância do Bash."
