pergunta,resposta
Qual é o comando `apt-get update` e o que ele faz?,O comando `apt-get update` Ressincroniza os arquivos de índice de pacotes a partir de suas fontes. As listas de pacotes disponíveis são obtidas dos locais especificados em /etc/apt/sources.list.. Exemplo de uso: `sudo apt-get update`. Observações: `Essencial antes de um upgrade ou da instalação de novos pacotes para garantir que você está obtendo as versões mais recentes.`.
Qual é o comando `apt-get upgrade` e o que ele faz?,"O comando `apt-get upgrade` Atualiza todos os pacotes atualmente instalados para suas versões mais recentes. Pacotes atualmente instalados não serão removidos, e pacotes que não estão instalados não serão instalados.. Exemplo de uso: `sudo apt-get upgrade`. Observações: `Não remove pacotes antigos que se tornaram obsoletos. Para isso, use 'dist-upgrade' ou 'autoremove'.`."
Qual é o comando `apt-get dist-upgrade` e o que ele faz?,"O comando `apt-get dist-upgrade` Além de realizar a função de upgrade, também lida de forma inteligente com as novas dependências de versão; ele tentará atualizar os pacotes mais importantes em detrimento dos menos importantes, se necessário. Pode remover pacotes para resolver conflitos.. Exemplo de uso: `sudo apt-get dist-upgrade`. Observações: `É o método recomendado para atualizar uma distribuição de uma versão para outra.`."
Qual é o comando `apt-get install [pacote]` e o que ele faz?,"O comando `apt-get install [pacote]` Instala um ou mais pacotes. O pacote é obtido e instalado. Se o nome do pacote for seguido por um hífen (-), o pacote será removido se estiver instalado.. Exemplo de uso: `sudo apt-get install gimp`. Observações: `Pode-se instalar múltiplos pacotes de uma vez, separando-os por espaços. A opção '--reinstall' pode ser usada para reinstalar um pacote.`."
Qual é o comando `apt-get remove [pacote]` e o que ele faz?,"O comando `apt-get remove [pacote]` Remove pacotes. É idêntico a 'install', exceto que os pacotes são removidos em vez de instalados.. Exemplo de uso: `sudo apt-get remove gimp`. Observações: `Remove os binários do pacote, mas deixa para trás arquivos de configuração.`."
Qual é o comando `apt-get purge [pacote]` e o que ele faz?,"O comando `apt-get purge [pacote]` É idêntico a 'remove', mas com a diferença de que os pacotes são removidos e seus arquivos de configuração globais também são deletados.. Exemplo de uso: `sudo apt-get purge gimp`. Observações: `Use com cuidado. A remoção dos arquivos de configuração é irreversível.`."
Qual é o comando `apt-get autoremove` e o que ele faz?,O comando `apt-get autoremove` Remove pacotes que foram instalados automaticamente para satisfazer dependências de outros pacotes e que não são mais necessários.. Exemplo de uso: `sudo apt-get autoremove`. Observações: `Útil para limpar o sistema de bibliotecas e pacotes órfãos.`.
Qual é o comando `apt-get clean` e o que ele faz?,"O comando `apt-get clean` Limpa o repositório local de arquivos de pacotes obtidos. Ele remove tudo, exceto o arquivo de bloqueio de /var/cache/apt/archives/ e /var/cache/apt/archives/partial/.. Exemplo de uso: `sudo apt-get clean`. Observações: `Libera espaço em disco ao remover os arquivos .deb baixados que não são mais necessários.`."
Qual é o comando `apt-get autoclean` e o que ele faz?,"O comando `apt-get autoclean` Como o 'clean', limpa o repositório local de arquivos de pacotes. A diferença é que ele só remove arquivos de pacotes que não podem mais ser baixados e são em grande parte inúteis.. Exemplo de uso: `sudo apt-get autoclean`. Observações: `Uma opção mais conservadora que 'clean' para liberar espaço em disco.`."
Qual é o comando `apt-get -f install` e o que ele faz?,O comando `apt-get -f install` Também conhecido como '--fix-broken'. Tenta corrigir um sistema com dependências quebradas.. Exemplo de uso: `sudo apt-get -f install`. Observações: `Frequentemente usado quando uma instalação ou remoção de pacote falha devido a problemas de dependência.`.
Qual é o comando `apt-get source [pacote]` e o que ele faz?,"O comando `apt-get source [pacote]` Faz o download dos arquivos fonte de um pacote. Por padrão, baixa na versão do pacote que está atualmente instalada.. Exemplo de uso: `apt-get source bash`. Observações: `Requer que linhas 'deb-src' estejam presentes no arquivo /etc/apt/sources.list.`."
Qual é o comando `apt-get build-dep [pacote]` e o que ele faz?,O comando `apt-get build-dep [pacote]` Instala as dependências de compilação para um pacote.. Exemplo de uso: `sudo apt-get build-dep gimp`. Observações: `Útil quando você planeja compilar um pacote a partir do código-fonte.`.
Qual é o comando `apt-get download [pacote]` e o que ele faz?,"O comando `apt-get download [pacote]` Baixa o arquivo binário .deb para o diretório atual, sem instalá-lo.. Exemplo de uso: `apt-get download nano`. Observações: `Útil para inspecionar um pacote ou para instalá-lo em um sistema offline.`."
Qual é o comando `apt-get check` e o que ele faz?,"O comando `apt-get check` É uma ferramenta de diagnóstico; atualiza o cache de pacotes e verifica se há dependências quebradas.. Exemplo de uso: `sudo apt-get check`. Observações: `Não resolve os problemas, apenas os reporta. Para resolver, use 'apt-get -f install'.`."
