"pergunta","resposta"
"Qual é o comando `apt-cache search [regex]` e o que ele faz?","O comando `apt-cache search [regex]` Procura por pacotes nos repositórios configurados que correspondem a uma expressão regular (regex). A busca é feita nos nomes e descrições dos pacotes.. Exemplo de uso: `apt-cache search text editor`. Observações: `Útil para encontrar pacotes quando você não sabe o nome exato. A regex pode ser simples texto.`."
"Qual é o comando `apt-cache show [pacote]` e o que ele faz?","O comando `apt-cache show [pacote]` Mostra informações detalhadas sobre um pacote, incluindo sua descrição, versão, dependências, tamanho e fonte.. Exemplo de uso: `apt-cache show nano`. Observações: `Fornece uma visão completa de um pacote específico, similar a 'dpkg --print-avail'.`."
"Qual é o comando `apt-cache depends [pacote]` e o que ele faz?","O comando `apt-cache depends [pacote]` Lista todas as dependências de um pacote específico, mostrando quais outros pacotes precisam ser instalados para que ele funcione.. Exemplo de uso: `apt-cache depends gimp`. Observações: `Essencial para entender a árvore de dependências de um software.`."
"Qual é o comando `apt-cache rdepends [pacote]` e o que ele faz?","O comando `apt-cache rdepends [pacote]` Mostra as dependências reversas de um pacote, ou seja, quais outros pacotes dependem dele para funcionar.. Exemplo de uso: `apt-cache rdepends libgtk-3-0`. Observações: `Ajuda a entender o impacto da remoção de um pacote no sistema.`."
"Qual é o comando `apt-cache policy [pacote]` e o que ele faz?","O comando `apt-cache policy [pacote]` Exibe informações sobre as prioridades de instalação de um pacote, mostrando qual versão está instalada, qual é a candidata para instalação e de qual repositório cada versão vem.. Exemplo de uso: `apt-cache policy firefox`. Observações: `Ferramenta de diagnóstico poderosa para problemas com repositórios múltiplos ou pinning de pacotes.`."
"Qual é o comando `apt-cache pkgnames [prefixo]` e o que ele faz?","O comando `apt-cache pkgnames [prefixo]` Lista os nomes de todos os pacotes conhecidos pelo APT. Opcionalmente, pode filtrar a lista por um prefixo.. Exemplo de uso: `apt-cache pkgnames libx`. Observações: `Rápido e eficiente para obter uma lista de nomes de pacotes, útil para scripts.`."
"Qual é o comando `apt-cache stats` e o que ele faz?","O comando `apt-cache stats` Exibe estatísticas gerais sobre o cache do APT, como o número total de pacotes, pacotes virtuais, dependências, etc.. Exemplo de uso: `apt-cache stats`. Observações: `Fornece uma visão geral do estado do cache de pacotes.`."
"Qual é o comando `apt-cache unmet` e o que ele faz?","O comando `apt-cache unmet` Mostra um resumo de todas as dependências não satisfeitas no cache, ajudando a diagnosticar problemas de pacotes quebrados.. Exemplo de uso: `apt-cache unmet`. Observações: `Funciona como um diagnóstico. Para corrigir os problemas, geralmente se usa 'apt-get -f install'.`."
"Qual é o comando `apt-cache showpkg [pacote]` e o que ele faz?","O comando `apt-cache showpkg [pacote]` Mostra informações mais detalhadas sobre um pacote do que 'show', incluindo todas as versões disponíveis e suas dependências diretas e reversas de forma mais crua.. Exemplo de uso: `apt-cache showpkg bash`. Observações: `A saída é mais verbosa e menos legível que 'show', mas pode ser útil para depuração avançada.`."
"Qual é o comando `apt-cache madison [pacote]` e o que ele faz?","O comando `apt-cache madison [pacote]` Mostra as versões de um pacote disponíveis nos diferentes repositórios (branches) de forma tabular, similar à ferramenta 'madison' do Debian.. Exemplo de uso: `apt-cache madison curl`. Observações: `Excelente para verificar de quais distribuições (stable, testing, unstable) uma versão específica de um pacote está vindo.`."
