pergunta,resposta
Qual é o comando `ls` e o que ele faz?,"O comando `ls` Lista o conteúdo de diretórios. Por padrão, lista os arquivos e diretórios no diretório atual.. Exemplo de uso: `ls`. Observações: `É um dos comandos mais fundamentais para navegar e inspecionar o sistema de arquivos.`."
Qual é o comando `ls -l` e o que ele faz?,"O comando `ls -l` Exibe uma listagem longa, mostrando detalhes como permissões, número de links, proprietário, grupo, tamanho, data da última modificação e nome do arquivo.. Exemplo de uso: `ls -l /home/user`. Observações: `A opção '-l' significa 'long listing format'.`."
Qual é o comando `ls -a` e o que ele faz?,"O comando `ls -a` Lista todos os arquivos, incluindo os ocultos (aqueles que começam com um ponto '.').. Exemplo de uso: `ls -a /etc`. Observações: `A opção '-a' significa 'all'.`."
Qual é o comando `ls -A` e o que ele faz?,"O comando `ls -A` Lista quase todos os arquivos, incluindo os ocultos, mas exclui as entradas '.' (diretório atual) e '..' (diretório pai).. Exemplo de uso: `ls -A ~`. Observações: `A opção '-A' significa 'almost all'.`."
Qual é o comando `ls -h` e o que ele faz?,"O comando `ls -h` Com '-l', exibe os tamanhos dos arquivos em formato legível por humanos (ex: 1K, 234M, 2G).. Exemplo de uso: `ls -lh /var/log`. Observações: `A opção '-h' significa 'human-readable'.`."
Qual é o comando `ls -R` e o que ele faz?,"O comando `ls -R` Lista o conteúdo de diretórios recursivamente, ou seja, lista os subdiretórios e seus conteúdos.. Exemplo de uso: `ls -R /tmp/myproject`. Observações: `A opção '-R' significa 'recursive'.`."
Qual é o comando `ls -t` e o que ele faz?,"O comando `ls -t` Ordena os arquivos por tempo de modificação, do mais novo para o mais antigo.. Exemplo de uso: `ls -lt /var/www/html`. Observações: `A opção '-t' significa 'time sort'. Frequentemente usada com '-l'.`."
Qual é o comando `ls -S` e o que ele faz?,"O comando `ls -S` Ordena os arquivos por tamanho, do maior para o menor.. Exemplo de uso: `ls -lS /tmp`. Observações: `A opção '-S' significa 'size sort'.`."
Qual é o comando `ls -r` e o que ele faz?,"O comando `ls -r` Inverte a ordem de classificação (ex: com '-t', mostra do mais antigo para o mais novo).. Exemplo de uso: `ls -ltr /var/log`. Observações: `A opção '-r' significa 'reverse'.`."
Qual é o comando `ls -d` e o que ele faz?,"O comando `ls -d` Lista o próprio diretório, em vez de seu conteúdo. Útil para ver informações sobre o diretório em si.. Exemplo de uso: `ls -ld /etc/apache2`. Observações: `A opção '-d' significa 'directory'.`."
Qual é o comando `ls -i` e o que ele faz?,O comando `ls -i` Exibe o número do inode de cada arquivo.. Exemplo de uso: `ls -i /bin/bash`. Observações: `O inode é um identificador único para um arquivo no sistema de arquivos.`.
Qual é o comando `ls -F` e o que ele faz?,"O comando `ls -F` Adiciona um indicador ao nome do arquivo para mostrar seu tipo (ex: / para diretórios, * para executáveis, @ para links simbólicos).. Exemplo de uso: `ls -F`. Observações: `A opção '-F' significa 'classify'.`."
Qual é o comando `ls -1` e o que ele faz?,O comando `ls -1` Lista um arquivo por linha. Útil para scripts ou para copiar a saída.. Exemplo de uso: `ls -1 /usr/bin`. Observações: `A opção '-1' significa 'one file per line'.`.
Qual é o comando `ls --author` e o que ele faz?,"O comando `ls --author` Com '-l', exibe o autor de cada arquivo (se disponível no sistema de arquivos).. Exemplo de uso: `ls -l --author /home/user/documents`. Observações: `Nem todos os sistemas de arquivos ou configurações suportam o campo de autor.`."
Qual é o comando `ls --color=auto` e o que ele faz?,"O comando `ls --color=auto` Coloriza a saída para facilitar a identificação de tipos de arquivos (diretórios, executáveis, links, etc.).. Exemplo de uso: `ls --color=auto`. Observações: `O 'auto' significa que a colorização é ativada apenas se a saída for para um terminal.`."
