pergunta,resposta
"Qual o propósito geral do comando `ip`?","Mostrar e manipular roteamento, dispositivos de rede, interfaces e túneis."
"Qual a sintaxe geral do comando `ip`?","`ip [ OPTIONS ] OBJECT { COMMAND | help }`, onde OBJECT é o que você quer gerenciar (ex: `link`, `address`, `route`) e COMMAND é a ação (ex: `show`, `add`, `del`)."
"No comando `ip`, o que a opção `-V` ou `-Version` faz?","Imprime a versão do utilitário `ip` e sai."
"No comando `ip`, o que a opção `-h` ou `-human-readable` faz?","Exibe estatísticas com valores legíveis por humanos, seguidos por sufixos (K, M, G)."
"No comando `ip`, o que a opção `-s`, `-stats` ou `-statistics` faz?","Exibe mais informações (estatísticas). Usar duas vezes (ex: `-ss`) aumenta a quantidade de informações."
"No comando `ip`, o que a opção `-d` ou `-details` faz?","Exibe informações mais detalhadas."
"No comando `ip`, o que a opção `-f family` ou `-family family` faz?","Especifica a família de protocolos a ser usada (ex: `inet`, `inet6`, `link`)."
"No comando `ip`, qual é o atalho para `-family inet`?","`-4`"
"No comando `ip`, qual é o atalho para `-family inet6`?","`-6`"
"No comando `ip`, o que a opção `-o` ou `-oneline` faz?","Exibe cada registro em uma única linha, substituindo quebras de linha por '\\'. Útil para `grep` ou `wc`."
"No comando `ip`, o que a opção `-r` ou `-resolve` faz?","Usa o resolvedor de nomes do sistema para imprimir nomes DNS em vez de endereços de host."
"No comando `ip`, o que a opção `-n netns` ou `-netns netns` faz?","Muda a operação do comando `ip` para o namespace de rede (`NETNS`) especificado."
"No comando `ip`, o que a opção `-N` ou `-Numeric` faz?","Imprime o número do protocolo, escopo, etc., diretamente, em vez de converter para um nome legível."
"No comando `ip`, o que a opção `-a` ou `-all` faz?","Executa o comando especificado sobre todos os objetos (se o comando suportar)."
"No comando `ip`, o que a opção `-c` ou `-color` faz?","Configura a saída com cores."
"No comando `ip`, o que a opção `-br` ou `-brief` faz?","Imprime apenas informações básicas em formato tabular para melhor legibilidade. Suportado por `ip addr show`, `ip link show`."
"No comando `ip`, o que a opção `-j` ou `-json` faz?","Formata a saída em JSON."
"No comando `ip`, o que a opção `-p` ou `-pretty` faz?","Indenta a saída JSON para torná-la mais legível."
"Qual o código de saída do `ip` se o comando foi bem-sucedido?","0"
"Qual o código de saída do `ip` se houver um erro de sintaxe?","1"
"Qual o código de saída do `ip` se o kernel reportar um erro?","2"}
