pergunta,resposta
Qual o propósito do comando `mkfs`?,É um front-end usado para construir (formatar) um sistema de arquivos Linux em um dispositivo.
Como o `mkfs` sabe qual tipo de sistema de arquivos criar?,"Ele usa o comando `mkfs.<tipo>` correspondente (ex: `mkfs.ext4`, `mkfs.xfs`) com base na opção `-t` ou em um padrão do sistema."
Como criar um sistema de arquivos ext4 em `/dev/sdb1`?,"`mkfs -t ext4 /dev/sdb1` ou, mais diretamente, `mkfs.ext4 /dev/sdb1`."
"Qual comando é o backend real para criar sistemas de arquivos ext2, ext3 e ext4?",`mke2fs`
"Qual opção do `mke2fs` cria um sistema de arquivos com um journal, tornando-o ext3 ou ext4?",`-j`
Qual opção do `mke2fs` define o 'volume label' (rótulo do volume)?,`-L <rotulo>`
Qual opção do `mke2fs` verifica o dispositivo em busca de blocos defeituosos (bad blocks) antes de criar o sistema de arquivos?,`-c`
"Qual opção do `mke2fs` força a criação do sistema de arquivos, mesmo que o dispositivo pareça estar em uso (uma ação perigosa)?","`-F` (usada duas vezes, `-FF`, para forçar sobre um dispositivo montado)."
O que a opção `-m` do `mke2fs` controla?,A porcentagem de blocos do sistema de arquivos reservados para o superusuário (root). O padrão é 5%.
Por que blocos são reservados para o root?,"Para evitar que processos de usuários normais preencham 100% do disco, o que impediria daemons críticos (como o de log) de funcionar e o root de fazer login para corrigir o problema."
O que a opção `-i` do `mke2fs` controla?,"A proporção de bytes por inode. Um valor menor cria mais inodes, útil para sistemas com muitos arquivos pequenos."
É possível alterar a proporção de bytes por inode depois que o sistema de arquivos foi criado?,"Não, essa é uma configuração que só pode ser definida durante a criação do sistema de arquivos."
O que a opção `-O` do `mke2fs` permite fazer?,"Habilitar ou desabilitar 'features' (características) específicas do sistema de arquivos, como `^has_journal` para remover o journal."
Qual opção do `mke2fs` define o comportamento do kernel em caso de erro no sistema de arquivos?,`-e <comportamento>` (ex: `remount-ro`)
"Qual opção do `mke2fs` apenas simula a criação, mostrando o que seria feito, sem alterar o disco?",`-n`
Como criar um sistema de arquivos XFS em `/dev/sdc1`?,`mkfs -t xfs /dev/sdc1` ou `mkfs.xfs /dev/sdc1`.
Qual opção do `mkfs.xfs` define o 'volume label'?,`-L <rotulo>`
Qual opção do `mkfs.xfs` força a sobrescrita de um sistema de arquivos existente?,`-f`
O XFS reserva espaço para o root por padrão como o ext4?,"Não, o XFS não tem um mecanismo de blocos reservados como o ext4."
O que a opção `-T` do `mke2fs` faz?,"Define um 'tipo de uso' (usage-type) para o sistema de arquivos (ex: `news`, `largefile`, `largefile4`), que otimiza parâmetros como a proporção de bytes por inode para aquele cenário."
Qual a principal diferença entre `mkfs.ext4` e `mkfs.xfs` em termos de opções de inode?,"No `mke2fs`, você pode controlar finamente a contagem de inodes com `-i` e `-N`. No `mkfs.xfs`, o número de inodes é gerenciado de forma mais dinâmica, embora possa ser ajustado com opções como `-i maxpct`."
