pergunta,resposta
Qual é o comando `grep [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep [PADRAO] [ARQUIVO]` Procura por linhas que correspondem a um PADRÃO (expressão regular) em um ou mais ARQUIVOS. Por padrão, exibe as linhas que contêm o padrão.. Exemplo de uso: `grep erro"" log.txt""`. Observações: `É uma das ferramentas mais poderosas para busca de texto em arquivos.`."
Qual é o comando `grep -i [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -i [PADRAO] [ARQUIVO]` Ignora a distinção entre maiúsculas e minúsculas ao procurar pelo padrão.. Exemplo de uso: `grep -i warning"" syslog""`. Observações: `A opção '-i' significa 'ignore-case'.`."
Qual é o comando `grep -v [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -v [PADRAO] [ARQUIVO]` Inverte o sentido da busca, exibindo as linhas que NÃO correspondem ao padrão.. Exemplo de uso: `grep -v root"" /etc/passwd""`. Observações: `A opção '-v' significa 'invert-match'.`."
Qual é o comando `grep -r [PADRAO] [DIRETORIO]` e o que ele faz?,"O comando `grep -r [PADRAO] [DIRETORIO]` Procura recursivamente pelo padrão em todos os arquivos dentro de um DIRETORIO e seus subdiretórios.. Exemplo de uso: `grep -r function_name"" .""`. Observações: `A opção '-r' significa 'recursive'. Útil para buscar em projetos inteiros.`."
Qual é o comando `grep -l [PADRAO] [ARQUIVO]...` e o que ele faz?,"O comando `grep -l [PADRAO] [ARQUIVO]...` Exibe apenas o nome dos arquivos que contêm o padrão, sem mostrar as linhas correspondentes.. Exemplo de uso: `grep -l TODO"" *.c""`. Observações: `A opção '-l' significa 'files-with-matches'.`."
Qual é o comando `grep -n [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -n [PADRAO] [ARQUIVO]` Exibe as linhas que correspondem ao padrão, prefixadas com o número da linha.. Exemplo de uso: `grep -n falha"" relatorio.log""`. Observações: `A opção '-n' significa 'line-number'.`."
Qual é o comando `grep -c [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -c [PADRAO] [ARQUIVO]` Exibe apenas a contagem de linhas que correspondem ao padrão em cada arquivo.. Exemplo de uso: `grep -c conexao"" access.log""`. Observações: `A opção '-c' significa 'count'.`."
Qual é o comando `grep -w [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -w [PADRAO] [ARQUIVO]` Procura por palavras inteiras que correspondem ao padrão, evitando correspondências parciais.. Exemplo de uso: `grep -w user"" usuarios.txt""`. Observações: `A opção '-w' significa 'word-regexp'. Por exemplo, 'grep -w user' não encontraria 'username'.`."
Qual é o comando `grep -E [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -E [PADRAO] [ARQUIVO]` Interpreta o PADRAO como uma Expressão Regular Estendida (ERE). Equivalente ao comando 'egrep'.. Exemplo de uso: `grep -E (erro|falha)"" log.txt""`. Observações: `Permite o uso de operadores de regex mais avançados, como '|' para OR.`."
Qual é o comando `grep -F [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -F [PADRAO] [ARQUIVO]` Interpreta o PADRAO como uma string fixa, não como uma expressão regular. Equivalente ao comando 'fgrep'.. Exemplo de uso: `grep -F $HOME"" script.sh""`. Observações: `A opção '-F' significa 'fixed-strings'. Útil quando o padrão contém caracteres especiais de regex que devem ser tratados literalmente.`."
Qual é o comando `grep -A [NUM] [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -A [NUM] [PADRAO] [ARQUIVO]` Exibe NUM linhas de contexto APÓS cada linha correspondente.. Exemplo de uso: `grep -A 3 erro crítico"" app.log""`. Observações: `A opção '-A' significa 'after-context'.`."
Qual é o comando `grep -B [NUM] [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -B [NUM] [PADRAO] [ARQUIVO]` Exibe NUM linhas de contexto ANTES de cada linha correspondente.. Exemplo de uso: `grep -B 2 login falhou"" auth.log""`. Observações: `A opção '-B' significa 'before-context'.`."
Qual é o comando `grep -C [NUM] [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -C [NUM] [PADRAO] [ARQUIVO]` Exibe NUM linhas de contexto ANTES e DEPOIS de cada linha correspondente.. Exemplo de uso: `grep -C 5 configuração"" config.ini""`. Observações: `A opção '-C' significa 'context'.`."
Qual é o comando `grep -o [PADRAO] [ARQUIVO]` e o que ele faz?,"O comando `grep -o [PADRAO] [ARQUIVO]` Exibe apenas a parte da linha que corresponde ao padrão, cada correspondência em uma nova linha.. Exemplo de uso: `grep -o [0-9]{3}-[0-9]{4}"" telefones.txt""`. Observações: `A opção '-o' significa 'only-matching'. Útil para extrair dados específicos.`."
