"pergunta","resposta"
"Qual é o comando `tail [arquivo]` e o que ele faz?","O comando `tail [arquivo]` Exibe as últimas 10 linhas de cada arquivo para a saída padrão. Se nenhum arquivo for especificado, lê da entrada padrão.. Exemplo de uso: `tail logfile.txt`. Observações: `Útil para monitorar o final de arquivos de log em tempo real.`."
"Qual é o comando `tail -n [NUMERO] [arquivo]` e o que ele faz?","O comando `tail -n [NUMERO] [arquivo]` Exibe as últimas NUMERO linhas do arquivo.. Exemplo de uso: `tail -n 5 access.log`. Observações: `Mostra as 5 últimas linhas do arquivo access.log.`."
"Qual é o comando `tail -c [NUMERO] [arquivo]` e o que ele faz?","O comando `tail -c [NUMERO] [arquivo]` Exibe os últimos NUMERO bytes de cada arquivo.. Exemplo de uso: `tail -c 100 binary.bin`. Observações: `Pode ser usado com sufixos como K (KB), M (MB), G (GB) para especificar o tamanho (ex: -c 10K).`."
"Qual é o comando `tail -f [arquivo]` e o que ele faz?","O comando `tail -f [arquivo]` Monitora o arquivo em tempo real, exibindo novas linhas à medida que são adicionadas. Útil para logs.. Exemplo de uso: `tail -f /var/log/syslog`. Observações: `A opção '-f' ('follow') é essencial para monitoramento contínuo de logs.`."
"Qual é o comando `tail -F [arquivo]` e o que ele faz?","O comando `tail -F [arquivo]` Similar a '-f', mas também monitora o arquivo se ele for renomeado ou rotacionado (útil para logs que são rotacionados).. Exemplo de uso: `tail -F /var/log/apache2/access.log`. Observações: `Combina '-f' com '--retry' e '--follow=name'.`."
"Qual é o comando `tail -n +[NUMERO] [arquivo]` e o que ele faz?","O comando `tail -n +[NUMERO] [arquivo]` Exibe o arquivo a partir da linha NUMERO até o final.. Exemplo de uso: `tail -n +100 documento.txt`. Observações: `Mostra o documento.txt a partir da linha 100.`."
"Qual é o comando `tail -c +[NUMERO] [arquivo]` e o que ele faz?","O comando `tail -c +[NUMERO] [arquivo]` Exibe o arquivo a partir do byte NUMERO até o final.. Exemplo de uso: `tail -c +512 imagem.bin`. Observações: `Útil para pular um cabeçalho fixo em um arquivo binário.`."
"Qual é o comando `tail -q [arquivo1] [arquivo2]` e o que ele faz?","O comando `tail -q [arquivo1] [arquivo2]` Suprime os cabeçalhos que mostram o nome do arquivo quando múltiplos arquivos são processados.. Exemplo de uso: `tail -q file1.txt file2.txt`. Observações: `A saída será apenas o conteúdo dos arquivos, sem identificação de qual arquivo pertence a cada parte.`."
"Qual é o comando `tail -v [arquivo1] [arquivo2]` e o que ele faz?","O comando `tail -v [arquivo1] [arquivo2]` Sempre imprime os cabeçalhos que mostram o nome do arquivo, mesmo quando apenas um arquivo é processado.. Exemplo de uso: `tail -v single_file.txt`. Observações: `Garante que o nome do arquivo seja exibido, o que pode ser útil para consistência em scripts.`."
"Qual é o comando `tail --pid=[PID] -f [arquivo]` e o que ele faz?","O comando `tail --pid=[PID] -f [arquivo]` Com '-f', termina o monitoramento do arquivo quando o processo com o PID especificado morre.. Exemplo de uso: `tail --pid=1234 -f app.log`. Observações: `Útil para monitorar logs de um processo específico e parar automaticamente quando o processo termina.`."
