pergunta,resposta
Qual o propósito principal do comando `grub-install`?,Instalar o carregador de inicialização GRUB em um dispositivo específico.
Como instalar o GRUB no Master Boot Record (MBR) do disco `/dev/sda`?,`grub-install /dev/sda`
O que o `grub-install` faz por padrão?,"Copia as imagens do GRUB para `/boot/grub` e, em sistemas BIOS, tenta instalar um setor de inicialização na MBR."
Qual opção do `grub-install` é usada para especificar um diretório de boot diferente do padrão `/boot`?,`--boot-directory=<diretorio>`
Como o `grub-install` se comporta em um sistema que usa UEFI?,Ele instala o GRUB como um arquivo EFI na Partição de Sistema EFI (ESP) e modifica as variáveis NVRAM para registrar o GRUB como uma opção de boot.
Qual opção do `grub-install` é usada para especificar a localização da Partição de Sistema EFI (ESP)?,`--efi-directory=<diretorio_efi>` (ex: `--efi-directory=/boot/efi`)
Qual opção do `grub-install` força a instalação mesmo que problemas sejam detectados?,`--force`
Qual opção do `grub-install` reinstala o GRUB e apaga o mapa de dispositivos existente se ele já existir?,`--recheck`
Qual opção do `grub-install` impede que o `grub-install` atualize as variáveis da NVRAM do UEFI?,`--no-nvram`
Para qual finalidade a opção `--removable` é usada em instalações UEFI?,"Para instalar o GRUB em um caminho de dispositivo removível padrão (como `/EFI/BOOT/BOOTX64.EFI`), tornando o disco inicializável em outras máquinas sem precisar de uma entrada NVRAM específica."
"Qual opção do `grub-install` permite especificar a plataforma de destino (ex: `i386-pc` para BIOS, `x86_64-efi` para UEFI 64-bit)?",`--target=<alvo>`
O `grub-install` cria o arquivo de configuração `grub.cfg`?,"Não, ele apenas instala os arquivos do bootloader. O arquivo `grub.cfg` deve ser gerado separadamente com `grub-mkconfig`."
É necessário especificar uma partição (ex: `/dev/sda1`) ou o disco inteiro (ex: `/dev/sda`) ao instalar o GRUB em um sistema BIOS?,"O disco inteiro (`/dev/sda`), para que o GRUB possa ser escrito na MBR."
Qual opção do `grub-install` permite pré-carregar módulos específicos na imagem do GRUB?,`--modules=<modulos>`
O que acontece se o `grub-install` falhar?,O sistema pode não ser capaz de inicializar. É um comando crítico que deve ser usado com cuidado.
Qual opção do `grub-install` permite instalar o GRUB para ser compatível com o UEFI Secure Boot?,`--uefi-secure-boot`
