pergunta,resposta
Qual é o comando `rpm -i [pacote.rpm]` e o que ele faz?,"O comando `rpm -i [pacote.rpm]` Instala um pacote RPM. As opções -v (verbose) e -h (hash) são comumente usadas para exibir mais informações e uma barra de progresso.. Exemplo de uso: `rpm -ivh pacote.rpm`. Observações: `Não resolve dependências automaticamente. Se o pacote tiver dependências não satisfeitas, a instalação falhará.`."
Qual é o comando `rpm -U [pacote.rpm]` e o que ele faz?,"O comando `rpm -U [pacote.rpm]` Atualiza um pacote RPM. Se o pacote não estiver instalado, ele o instalará. Remove a versão antiga do pacote.. Exemplo de uso: `rpm -Uvh pacote.rpm`. Observações: `É a forma preferida de instalar e atualizar pacotes, pois lida com ambos os cenários.`."
Qual é o comando `rpm -F [pacote.rpm]` e o que ele faz?,"O comando `rpm -F [pacote.rpm]` Atualiza um pacote (Freshen) somente se uma versão mais antiga já estiver instalada. Não instala o pacote se ele não existir.. Exemplo de uso: `rpm -Fvh pacote.rpm`. Observações: `Útil para atualizar um conjunto de pacotes em um diretório, sem instalar novos.`."
Qual é o comando `rpm -e [pacote]` e o que ele faz?,"O comando `rpm -e [pacote]` Remove (apaga) um pacote instalado. Use o nome do pacote, não o nome do arquivo .rpm.. Exemplo de uso: `rpm -e nome-do-pacote`. Observações: `Assim como na instalação, não lida com dependências. Se outros pacotes dependerem do que está sendo removido, a operação falhará.`."
Qual é o comando `rpm -q [pacote]` e o que ele faz?,O comando `rpm -q [pacote]` Consulta (query) um pacote para verificar se ele está instalado.. Exemplo de uso: `rpm -q nome-do-pacote`. Observações: `Retorna o nome e a versão do pacote se ele estiver instalado.`.
Qual é o comando `rpm -qa` e o que ele faz?,O comando `rpm -qa` Lista todos os pacotes RPM instalados no sistema.. Exemplo de uso: `rpm -qa | grep -i nome`. Observações: `O comando 'qa' significa 'query all'. É frequentemente combinado com 'grep' para encontrar pacotes específicos.`.
Qual é o comando `rpm -qi [pacote]` e o que ele faz?,"O comando `rpm -qi [pacote]` Mostra informações detalhadas sobre um pacote instalado, como nome, versão, descrição, data de instalação, etc.. Exemplo de uso: `rpm -qi nome-do-pacote`. Observações: `'qi' significa 'query info'.`."
Qual é o comando `rpm -ql [pacote]` e o que ele faz?,O comando `rpm -ql [pacote]` Lista todos os arquivos que pertencem a um pacote instalado.. Exemplo de uso: `rpm -ql nome-do-pacote`. Observações: `'ql' significa 'query list'. Útil para saber onde os arquivos de um programa foram instalados.`.
Qual é o comando `rpm -qf [caminho/do/arquivo]` e o que ele faz?,O comando `rpm -qf [caminho/do/arquivo]` Descobre a qual pacote um determinado arquivo pertence.. Exemplo de uso: `rpm -qf /usr/bin/vim`. Observações: `'qf' significa 'query file'. Muito útil para identificar o dono de um arquivo de sistema.`.
Qual é o comando `rpm -qip [pacote.rpm]` e o que ele faz?,O comando `rpm -qip [pacote.rpm]` Mostra informações de um arquivo .rpm que ainda não foi instalado. O 'p' significa 'package file'.. Exemplo de uso: `rpm -qip pacote.rpm`. Observações: `Permite inspecionar um pacote antes de instalá-lo.`.
Qual é o comando `rpm -qlp [pacote.rpm]` e o que ele faz?,O comando `rpm -qlp [pacote.rpm]` Lista os arquivos dentro de um arquivo .rpm que ainda não foi instalado.. Exemplo de uso: `rpm -qlp pacote.rpm`. Observações: `Permite ver quais arquivos seriam instalados sem realmente instalar o pacote.`.
Qual é o comando `rpm -V [pacote]` e o que ele faz?,"O comando `rpm -V [pacote]` Verifica a integridade de um pacote instalado, comparando os arquivos atuais com as informações do banco de dados RPM.. Exemplo de uso: `rpm -V nome-do-pacote`. Observações: `A saída lista os arquivos que falharam na verificação. Se não houver saída, o pacote está OK.`."
Qual é o comando `rpm --import [CHAVE-GPG]` e o que ele faz?,O comando `rpm --import [CHAVE-GPG]` Importa uma chave pública GPG para que o sistema possa verificar a assinatura dos pacotes RPM.. Exemplo de uso: `rpm --import /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release`. Observações: `Essencial para garantir a autenticidade e a integridade dos pacotes que você instala.`.
Qual é o comando `rpm -K [pacote.rpm]` e o que ele faz?,O comando `rpm -K [pacote.rpm]` Verifica a assinatura GPG de um arquivo .rpm para garantir que ele não foi corrompido e que vem de uma fonte confiável.. Exemplo de uso: `rpm -K pacote.rpm`. Observações: `Também conhecido como '--checksig'. É uma boa prática verificar os pacotes antes de instalá-los.`.
Qual é o comando `rpm --rebuilddb` e o que ele faz?,O comando `rpm --rebuilddb` Reconstrói o banco de dados RPM. Útil quando o banco de dados está corrompido.. Exemplo de uso: `rpm --rebuilddb`. Observações: `Pode resolver muitos problemas relacionados a consultas de pacotes que não funcionam corretamente.`.
