pergunta,resposta
"Qual comando é usado para ativar uma área de swap?","`swapon`"
"Qual comando é usado para desativar uma área de swap?","`swapoff`"
"Como ativar a área de swap em `/dev/sdb2`?","`swapon /dev/sdb2`"
"Como desativar a área de swap em `/dev/sdb2`?","`swapoff /dev/sdb2`"
"Qual opção do `swapon` ativa todas as áreas de swap listadas como 'swap' no arquivo `/etc/fstab`?","`-a` ou `--all`"
"Como exibir um resumo das áreas de swap atualmente em uso?","`swapon -s` ou `swapon --summary` (ou `cat /proc/swaps`)"
"Qual opção do `swapon` permite definir uma prioridade para uma área de swap?","`-p <prioridade>` ou `--priority <prioridade>`"
"Como funciona a prioridade de swap?","É um número de 0 a 32767. Áreas de swap com prioridade mais alta são usadas primeiro. Áreas com a mesma prioridade são usadas em modo round-robin."
"Para que serve definir diferentes prioridades de swap?","Para fazer com que o sistema use dispositivos de swap mais rápidos (como um SSD) antes de usar dispositivos mais lentos (como um disco rígido)."
"Como especificar uma área de swap por seu rótulo (label) no `swapon`?","`swapon -L <rotulo>`"
"Como especificar uma área de swap por seu UUID no `swapon`?","`swapon -U <uuid>`"
"Qual opção do `swapon` exibe uma tabela definível de áreas de swap com colunas específicas?","`--show`"
"Como seria uma linha típica no `/etc/fstab` para uma partição de swap em `/dev/sda3` com prioridade 10?","`/dev/sda3   none   swap   sw,pri=10   0   0`"
"Como seria uma linha no `/etc/fstab` para um arquivo de swap em `/swapfile`?","`/swapfile   none   swap   sw   0   0`"
"Qual opção do `swapon` habilita a operação de 'discard', que pode melhorar o desempenho em alguns SSDs?","`-d` ou `--discard`"
"O que o comando `swapoff -a` faz?","Desativa todas as áreas de swap ativas no sistema."
"É seguro usar um arquivo com 'holes' (buracos) como um arquivo de swap?","Não, o `swapon` rejeitará arquivos com 'holes' porque o kernel precisa de acesso direto e contíguo."
"Qual é a maneira mais segura e portátil de criar um arquivo para ser usado como swap?","Usando o comando `dd` com `/dev/zero` para garantir que o arquivo seja totalmente alocado."
