"pergunta","resposta"
"O que é ""Job Control"" no Bash?","Job Control refere-se à capacidade de parar (suspender) seletivamente a execução de processos e continuar (retomar) sua execução em um ponto posterior."
"Como o shell associa uma tarefa a um pipeline?","O shell associa uma tarefa a cada pipeline e mantém uma tabela de tarefas atualmente em execução"," que pode ser listada com o comando `jobs`."
"O que significa a saída `[1] 25647` ao iniciar uma tarefa assincronamente no Bash?","`[1]` indica que esta tarefa é a tarefa número 1"," e `25647` é o ID do processo do último processo no pipeline associado a esta tarefa."
"O que são processos em primeiro plano (foreground) no Job Control?","Processos em primeiro plano são aqueles cujo ID do grupo de processo é igual ao ID do grupo de processo do terminal atual"," recebendo sinais gerados pelo teclado como `SIGINT`."
"O que são processos em segundo plano (background) no Job Control?","Processos em segundo plano são aqueles cujo ID do grupo de processo difere do terminal"," sendo imunes a sinais gerados pelo teclado."
"Qual caractere é tipicamente usado para suspender um processo e retornar o controle ao Bash?","O caractere de suspensão é tipicamente `^Z` (Control-Z)."
"Como retomar um processo suspenso em segundo plano?","Use o comando `bg`."
"Como retomar um processo suspenso em primeiro plano?","Use o comando `fg`."
"Como se referir a uma tarefa no shell usando o caractere `%`?","O caractere `%` introduz uma especificação de tarefa (`jobspec`). `%n` refere-se à tarefa número `n`."
"Como se referir à tarefa mais recente em segundo plano ou suspensa?","Use `%%` ou `%+`."
"Como se referir à tarefa anterior à tarefa atual?","Use `%-`."
"O que acontece se uma tentativa de sair do Bash for feita enquanto há tarefas paradas?","O shell imprime uma mensagem de aviso e"," se a opção `checkjobs` estiver habilitada"," lista as tarefas e seus status."
