pergunta,resposta
Qual o propósito do comando `dhclient`?,Obter configurações de rede (como endereço IP) de um servidor DHCP.
Como solicitar uma nova concessão (lease) de DHCP para todas as interfaces?,`dhclient`
Como solicitar uma nova concessão (lease) de DHCP para uma interface específica (ex: eth0)?,`dhclient eth0`
Qual opção do `dhclient` libera a concessão (lease) atual e encerra o cliente?,`-r`
"Qual opção do `dhclient` força o cliente a rodar em primeiro plano (foreground), útil para depuração?",`-d`
"Qual opção do `dhclient` o torna mais verboso, exibindo mais mensagens de log?",`-v`
Qual opção do `dhclient` força o uso de DHCPv4?,`-4`
Qual opção do `dhclient` força o uso de DHCPv6?,`-6`
Qual arquivo de configuração o `dhclient` usa?,`/etc/dhcp/dhclient.conf`
Onde o `dhclient` armazena as informações sobre as concessões (leases) ativas?,`/var/lib/dhcp/dhclient.leases` (o caminho pode variar ligeiramente entre distribuições)
Como o `dhclient` é normalmente usado em um sistema desktop ou servidor?,Geralmente é chamado automaticamente por um gerenciador de rede (como NetworkManager) ou através do método `dhcp` no arquivo `/etc/network/interfaces`.
Qual opção do `dhclient` especifica um arquivo de configuração alternativo?,`-cf <arquivo_de_configuração>`
Qual opção do `dhclient` especifica um arquivo de script alternativo para configurar as interfaces?,`-sf <arquivo_de_script>`
Qual opção do `dhclient` especifica o arquivo para armazenar o ID do processo (PID)?,`-pf <arquivo_pid>`
O que o comando `dhclient -r eth0 && dhclient eth0` faz?,"Primeiro, libera a concessão de DHCP atual para a interface eth0 e, em seguida, solicita uma nova concessão para a mesma interface."
