pergunta,resposta
Qual é o comando `aptitude install [pacote]` e o que ele faz?,"O comando `aptitude install [pacote]` Instala/atualiza pacotes. É um gerenciador de pacotes de alto nível que pode resolver dependências de forma mais robusta que o apt-get.. Exemplo de uso: `sudo aptitude install inkscape`. Observações: `O aptitude oferece uma interface interativa se executado sem argumentos. O sufixo '+' é usado para instalar, '-' para remover e '_' para purgar.`."
Qual é o comando `aptitude remove [pacote]` e o que ele faz?,"O comando `aptitude remove [pacote]` Remove pacotes, mas mantém os arquivos de configuração.. Exemplo de uso: `sudo aptitude remove inkscape`. Observações: `Similar ao 'apt-get remove'.`."
Qual é o comando `aptitude purge [pacote]` e o que ele faz?,O comando `aptitude purge [pacote]` Remove pacotes e seus arquivos de configuração.. Exemplo de uso: `sudo aptitude purge inkscape`. Observações: `Similar ao 'apt-get purge'.`.
Qual é o comando `aptitude safe-upgrade` e o que ele faz?,O comando `aptitude safe-upgrade` Atualiza os pacotes instalados de forma segura. Pacotes não serão removidos a menos que estejam sem uso.. Exemplo de uso: `sudo aptitude safe-upgrade`. Observações: `É o método de atualização preferido sobre 'upgrade' pois é mais conservador e não remove pacotes para resolver dependências.`.
Qual é o comando `aptitude full-upgrade` e o que ele faz?,"O comando `aptitude full-upgrade` Atualiza os pacotes instalados, removendo ou instalando pacotes conforme necessário para resolver dependências. Pode remover pacotes.. Exemplo de uso: `sudo aptitude full-upgrade`. Observações: `Anteriormente conhecido como 'dist-upgrade'. É mais agressivo que 'safe-upgrade' e pode realizar ações indesejadas se não for usado com cuidado.`."
Qual é o comando `aptitude search [padrão]` e o que ele faz?,"O comando `aptitude search [padrão]` Busca por um pacote usando padrões de busca avançados.. Exemplo de uso: `aptitude search '~i?description(mail client)'`. Observações: `O sistema de busca é muito poderoso, permitindo filtrar por estado (instalado, novo, etc.), seção, tags e mais.`."
Qual é o comando `aptitude show [pacote]` e o que ele faz?,"O comando `aptitude show [pacote]` Mostra informações detalhadas sobre um pacote.. Exemplo de uso: `aptitude show vim`. Observações: `Similar ao 'apt-cache show', mas integrado ao aptitude.`."
Qual é o comando `aptitude hold [pacote]` e o que ele faz?,"O comando `aptitude hold [pacote]` Marca um pacote para não ser atualizado automaticamente. Impede qualquer instalação, remoção ou atualização.. Exemplo de uso: `sudo aptitude hold linux-image-generic`. Observações: `Útil para manter uma versão específica de um pacote, como o kernel.`."
Qual é o comando `aptitude unhold [pacote]` e o que ele faz?,"O comando `aptitude unhold [pacote]` Remove a marcação 'hold' de um pacote, permitindo que ele seja atualizado novamente.. Exemplo de uso: `sudo aptitude unhold linux-image-generic`. Observações: `Reverte a ação do 'hold'.`."
Qual é o comando `aptitude why [pacote]` e o que ele faz?,"O comando `aptitude why [pacote]` Explica por que um pacote é necessário no sistema, mostrando a cadeia de dependências que leva a ele.. Exemplo de uso: `aptitude why libjpeg-turbo8`. Observações: `Ferramenta de diagnóstico excelente para entender as relações entre pacotes.`."
Qual é o comando `aptitude why-not [pacote]` e o que ele faz?,"O comando `aptitude why-not [pacote]` Explica por que um pacote não pode ser instalado, mostrando os conflitos que o impedem.. Exemplo de uso: `aptitude why-not non-free-package`. Observações: `Ajuda a depurar problemas complexos de dependência e conflitos.`."
Qual é o comando `aptitude clean` e o que ele faz?,"O comando `aptitude clean` Remove todos os arquivos .deb baixados do cache (/var/cache/apt/archives).. Exemplo de uso: `sudo aptitude clean`. Observações: `Libera espaço em disco, mas pode exigir o download dos pacotes novamente no futuro.`."
Qual é o comando `aptitude autoclean` e o que ele faz?,O comando `aptitude autoclean` Remove do cache apenas os pacotes que não podem mais ser baixados (versões antigas).. Exemplo de uso: `sudo aptitude autoclean`. Observações: `Uma forma mais segura de limpar o cache sem remover tudo.`.
Qual é o comando `aptitude forbid-version [pacote]=[versão]` e o que ele faz?,"O comando `aptitude forbid-version [pacote]=[versão]` Proíbe que um pacote seja atualizado para uma versão específica, mas permite atualizações para versões futuras.. Exemplo de uso: `sudo aptitude forbid-version gimp=2.8.22-1`. Observações: `Útil para evitar uma versão específica de um pacote que se sabe estar com problemas.`."
