pergunta,resposta
"Qual o propósito do comando `hostname`?","Exibir ou definir o nome de host do sistema."
"Como exibir o nome de host atual do sistema?","`hostname`"
"Como definir um novo nome de host (temporariamente, até a próxima reinicialização)?","`hostname <novo_nome>` (requer privilégios de root)"
"Qual arquivo deve ser editado para definir o nome do host de forma permanente no Debian/Ubuntu e sistemas similares?","`/etc/hostname`"
"No `hostname`, qual opção exibe o nome curto do host (a parte antes do primeiro ponto)?","`-s` ou `--short`"
"No `hostname`, qual opção exibe o FQDN (Fully Qualified Domain Name)?","`-f` ou `--fqdn` ou `--long`"
"No `hostname`, qual opção exibe o nome do domínio DNS?","`-d` ou `--domain`"
"No `hostname`, qual opção exibe todos os endereços IP associados ao host?","`-I` ou `--all-ip-addresses`"
"No `hostname`, qual opção exibe o endereço IP associado ao nome do host (depende da resolução de nomes)?","`-i` ou `--ip-address`"
"No `hostname`, qual opção exibe todos os FQDNs da máquina?","`-A` ou `--all-fqdns`"
"Como o comando `dnsdomainname` se relaciona com o `hostname`?","`dnsdomainname` é efetivamente um alias para `hostname -d`, exibindo o nome do domínio DNS."
"Como o comando `domainname` se relaciona com o `hostname`?","`domainname` exibe ou define o nome de domínio NIS/YP do sistema, não o domínio DNS."
"Qual o método recomendado para configurar o FQDN em um sistema?","Editar o arquivo `/etc/hosts` para que o nome do host seja um alias para o nome totalmente qualificado (ex: `127.0.1.1 meu-fqdn.exemplo.com meu-host`)."
"No `hostname`, qual opção permite ler o nome do host de um arquivo?","`-F <arquivo>` ou `--file <arquivo>`"
