pergunta,resposta
Qual o propósito do comando `ip link`?,Configuração de dispositivos de rede (interfaces).
Como exibir os atributos de todos os dispositivos de rede com `ip link`?,`ip link show` ou `ip link list`
Como exibir os atributos de um dispositivo de rede específico (ex: eth0) com `ip link`?,`ip link show dev eth0`
"No `ip link show`, como exibir apenas as interfaces que estão 'up' (ativas)?",`ip link show up`
"No `ip link show`, como exibir apenas as interfaces que estão 'down' (inativas)?",`ip link show down`
"No `ip link show`, como exibir os dispositivos escravizados por um mestre (ex: br0)?",`ip link show master br0`
"No `ip link show`, como exibir dispositivos de um tipo específico (ex: vlan)?",`ip link show type vlan`
Qual comando `ip link` ativa uma interface (ex: eth0)?,`ip link set dev eth0 up`
Qual comando `ip link` desativa uma interface (ex: eth0)?,`ip link set dev eth0 down`
Como alterar o MTU (Maximum Transmission Unit) de uma interface (ex: eth0 para 1400) com `ip link`?,`ip link set dev eth0 mtu 1400`
Como alterar o endereço MAC de uma interface (ex: eth0) com `ip link`?,`ip link set dev eth0 address XX:XX:XX:XX:XX:XX`
Como renomear uma interface (ex: eth0 para wan0) com `ip link`?,`ip link set dev eth0 name wan0`
Como ativar o modo promíscuo em uma interface (ex: eth0) com `ip link`?,`ip link set dev eth0 promisc on`
Como desativar o modo promíscuo em uma interface (ex: eth0) com `ip link`?,`ip link set dev eth0 promisc off`
Como ativar o ARP em uma interface (ex: eth0) com `ip link`?,`ip link set dev eth0 arp on`
Como desativar o ARP em uma interface (ex: eth0) com `ip link`?,`ip link set dev eth0 arp off`
Como mover uma interface (ex: eth0) para um network namespace (ex: ns1) com `ip link`?,`ip link set dev eth0 netns ns1`
Como criar uma interface VLAN (ex: eth0.10 com ID 10) com `ip link`?,`ip link add link eth0 name eth0.10 type vlan id 10`
Como deletar uma interface (ex: eth0.10) com `ip link`?,`ip link delete dev eth0.10`
Como criar um par de interfaces veth (Virtual Ethernet) com `ip link`?,`ip link add name veth0 type veth peer name veth1`
Como criar uma interface bridge (ex: br0) com `ip link`?,`ip link add name br0 type bridge`
Como adicionar uma interface (ex: eth0) a uma bridge (ex: br0) com `ip link`?,`ip link set dev eth0 master br0` ou `ip link set dev eth0 master br0`
Como remover uma interface (ex: eth0) de uma bridge com `ip link`?,`ip link set dev eth0 nomaster`
"Na saída de `ip link show`, o que o estado `UP` indica?",A interface está ativa e pronta para transmitir pacotes.
"Na saída de `ip link show`, o que o estado `DOWN` indica?",A interface está desativada.
"Na saída de `ip link show`, o que o estado `LOWER_UP` em `<...>` indica?",A camada física (ex: cabo conectado) está ativa.
"Na saída de `ip link show`, o que `BROADCAST` em `<...>` indica?",A interface suporta broadcast.
"Na saída de `ip link show`, o que `MULTICAST` em `<...>` indica?",A interface suporta multicast.
"Na saída de `ip link show`, o que `PROMISC` em `<...>` indica?","A interface está em modo promíscuo, capturando todo o tráfego."
"Na saída de `ip link show`, o que `NOARP` em `<...>` indica?",O protocolo ARP está desativado na interface.
