"pergunta","resposta"
"Qual é o comando `cp [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp [ORIGEM] [DESTINO]` Copia arquivos e diretórios. Se DESTINO for um diretório, copia ORIGEM para dentro dele. Se DESTINO for um arquivo, sobrescreve-o.. Exemplo de uso: `cp arquivo.txt /tmp/backup/`. Observações: `É um dos comandos mais usados para manipulação de arquivos.`."
"Qual é o comando `cp -r [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -r [ORIGEM] [DESTINO]` Copia diretórios recursivamente, incluindo todos os seus conteúdos (arquivos e subdiretórios).. Exemplo de uso: `cp -r meu_projeto /var/www/html`. Observações: `A opção '-r' significa 'recursive'. Essencial para copiar pastas inteiras.`."
"Qual é o comando `cp -a [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -a [ORIGEM] [DESTINO]` Copia arquivos e diretórios, preservando atributos como permissões, proprietário, timestamps e links simbólicos. É equivalente a '-dR --preserve=all'.. Exemplo de uso: `cp -a /etc/nginx /etc/nginx_backup`. Observações: `A opção '-a' significa 'archive'. Ideal para backups ou migrações, pois mantém a integridade dos dados.`."
"Qual é o comando `cp -u [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -u [ORIGEM] [DESTINO]` Copia apenas se o arquivo de ORIGEM for mais novo que o arquivo de DESTINO, ou se o arquivo de DESTINO não existir.. Exemplo de uso: `cp -u *.log /var/log/backup/`. Observações: `A opção '-u' significa 'update'. Útil para sincronizar arquivos, copiando apenas os que foram modificados.`."
"Qual é o comando `cp -v [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -v [ORIGEM] [DESTINO]` Exibe informações detalhadas sobre o que está sendo copiado.. Exemplo de uso: `cp -v arquivo.txt /tmp/`. Observações: `A opção '-v' significa 'verbose'.`."
"Qual é o comando `cp -i [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -i [ORIGEM] [DESTINO]` Solicita confirmação antes de sobrescrever um arquivo existente no destino.. Exemplo de uso: `cp -i config.conf /etc/app/`. Observações: `A opção '-i' significa 'interactive'. É uma boa prática para evitar sobrescrever arquivos importantes acidentalmente.`."
"Qual é o comando `cp -n [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -n [ORIGEM] [DESTINO]` Não sobrescreve um arquivo existente no destino. Se o arquivo já existir, a cópia é ignorada.. Exemplo de uso: `cp -n new_file.txt existing_file.txt`. Observações: `A opção '-n' significa 'no-clobber'.`."
"Qual é o comando `cp -l [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -l [ORIGEM] [DESTINO]` Cria um hard link em vez de copiar o arquivo. O hard link aponta para o mesmo inode do arquivo original.. Exemplo de uso: `cp -l original.txt link.txt`. Observações: `Alterações em um hard link afetam o arquivo original e vice-versa. Não funciona entre sistemas de arquivos diferentes.`."
"Qual é o comando `cp -s [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -s [ORIGEM] [DESTINO]` Cria um link simbólico (soft link) em vez de copiar o arquivo. O link simbólico é um atalho para o arquivo original.. Exemplo de uso: `cp -s /path/to/original /path/to/symlink`. Observações: `A opção '-s' significa 'symbolic-link'. Pode apontar para arquivos em sistemas de arquivos diferentes.`."
"Qual é o comando `cp --backup [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp --backup [ORIGEM] [DESTINO]` Cria um backup do arquivo de destino antes de sobrescrevê-lo. O backup geralmente tem um sufixo como '~'.. Exemplo de uso: `cp --backup config.conf /etc/app/`. Observações: `Útil para ter uma cópia de segurança antes de aplicar alterações.`."
"Qual é o comando `cp -p [ORIGEM] [DESTINO]` e o que ele faz?","O comando `cp -p [ORIGEM] [DESTINO]` Preserva o modo (permissões), propriedade (usuário/grupo) e timestamps do arquivo original.. Exemplo de uso: `cp -p script.sh /usr/local/bin/`. Observações: `A opção '-p' significa 'preserve'.`."
"Qual é o comando `cp -t [DIRETORIO] [ORIGEM]...` e o que ele faz?","O comando `cp -t [DIRETORIO] [ORIGEM]...` Copia múltiplos arquivos de ORIGEM para o DIRETORIO especificado. O DIRETORIO é o último argumento.. Exemplo de uso: `cp -t /tmp/backup/ file1.txt file2.txt`. Observações: `Útil quando se tem muitos arquivos para copiar para um único destino.`."
