pergunta,resposta
Qual o propósito do comando `ip route`?,Gerenciamento da tabela de roteamento do kernel.
Como exibir a tabela de roteamento principal?,`ip route show` ou `ip route` ou `ip ro`
Como adicionar uma rota padrão (default gateway) via 192.168.1.1 pela interface eth0?,`ip route add default via 192.168.1.1 dev eth0`
Como adicionar uma rota para uma rede específica (ex: 10.0.0.0/8) via um gateway (ex: 192.168.1.254)?,`ip route add 10.0.0.0/8 via 192.168.1.254`
Como adicionar uma rota para uma rede (ex: 172.16.0.0/16) que está diretamente conectada à interface eth1?,`ip route add 172.16.0.0/16 dev eth1`
Como deletar uma rota específica (ex: para a rede 10.0.0.0/8)?,`ip route del 10.0.0.0/8`
Como deletar a rota padrão?,`ip route del default`
Como substituir uma rota existente ou criá-la se não existir?,Use `ip route replace` com a mesma sintaxe do `add`.
Como verificar qual rota será usada para alcançar um endereço IP específico (ex: 8.8.8.8)?,`ip route get 8.8.8.8`
"Na saída de `ip route get`, o que `via` indica?",O endereço do próximo salto (gateway) a ser usado.
"Na saída de `ip route get`, o que `dev` indica?",A interface de saída que será usada.
"Na saída de `ip route get`, o que `src` indica?",O endereço de origem que o kernel selecionou para usar no pacote.
O que o comando `ip route flush` faz?,Remove (apaga) rotas da tabela de roteamento. Requer critérios para selecionar quais rotas apagar.
O que é uma rota do tipo `unicast`?,Uma rota que descreve um caminho real para um destino.
O que é uma rota do tipo `blackhole`?,Os pacotes para o destino são descartados silenciosamente. O remetente local recebe um erro EINVAL.
O que é uma rota do tipo `unreachable`?,Os pacotes para o destino são descartados e uma mensagem ICMP 'host unreachable' é gerada. O remetente local recebe um erro EHOSTUNREACH.
O que é uma rota do tipo `prohibit`?,Os pacotes para o destino são descartados e uma mensagem ICMP 'communication administratively prohibited' é gerada. O remetente local recebe um erro EACCES.
Para que serve o parâmetro `metric` ao adicionar uma rota?,Define um valor de preferência para a rota. Rotas com métricas mais baixas são preferidas.
O que são as tabelas de roteamento no Linux?,O Linux pode ter múltiplas tabelas de roteamento (identificadas por número ou nome). As principais são `local` (ID 255) e `main` (ID 254).
Qual tabela de roteamento o kernel usa por padrão?,A tabela `main` (ID 254).
O que a tabela de roteamento `local` contém?,"Rotas para endereços locais e de broadcast, mantidas automaticamente pelo kernel."
