pergunta,resposta
"Qual o propósito principal do comando `ldconfig`?","Criar os links necessários e o cache para as bibliotecas compartilhadas mais recentes, para que o 'dynamic linker' (ld.so) possa encontrá-las rapidamente."
"Qual comando é executado para reconstruir o cache de bibliotecas compartilhadas?","`ldconfig` (geralmente requer privilégios de root)."
"Quais diretórios o `ldconfig` varre por padrão?","Os diretórios listados em `/etc/ld.so.conf`, os diretórios confiáveis (`/lib`, `/usr/lib`, `/lib64`, `/usr/lib64`) e quaisquer diretórios passados na linha de comando."
"Qual é o arquivo de cache que o `ldconfig` cria?","`/etc/ld.so.cache`"
"Qual opção do `ldconfig` exibe o conteúdo do cache atual?","`-p` ou `--print-cache`"
"Qual opção do `ldconfig` o torna mais 'falante', mostrando os diretórios que estão sendo varridos e os links que estão sendo criados?","`-v` ou `--verbose`"
"Quando um administrador normalmente precisa executar o `ldconfig` manualmente?","Após instalar novas bibliotecas compartilhadas em um diretório não padrão e adicionar esse diretório ao `/etc/ld.so.conf`."
"O que o arquivo `/etc/ld.so.conf` contém?","Uma lista de caminhos de diretórios, um por linha, onde o sistema deve procurar por bibliotecas compartilhadas."
"O que é o 'soname' de uma biblioteca e qual a sua importância para o `ldconfig`?","É um nome lógico para a biblioteca (ex: `libfoo.so.1`) que o `ldconfig` usa para criar o link simbólico principal. Ele permite que programas se vinculem a uma versão de API específica, enquanto o arquivo real pode ser atualizado (ex: `libfoo.so.1.12`)."
"Qual é a estrutura de links simbólicos que o `ldconfig` espera?","Um link genérico aponta para o 'soname', que por sua vez aponta para o arquivo real da biblioteca (ex: `libfoo.so -> libfoo.so.1 -> libfoo.so.1.12`)."
"Qual opção do `ldconfig` permite especificar um arquivo de configuração alternativo em vez de `/etc/ld.so.conf`?","`-f <arquivo_conf>`"
"Qual opção do `ldconfig` permite especificar um diretório raiz diferente, útil em ambientes `chroot`?","`-r <diretorio_raiz>`"
"Qual opção do `ldconfig` processa apenas os diretórios especificados na linha de comando, ignorando os padrões e o `ld.so.conf`?","`-n`"
"O que o `ld.so` (ou `ld-linux.so`) faz?","É o 'dynamic linker' ou 'loader' em si. É ele quem lê o cache `/etc/ld.so.cache` para carregar as bibliotecas necessárias para um executável em tempo de execução."
