pergunta,resposta
Qual é o comando `csplit [arquivo] [PADRÃO]...` e o que ele faz?,"O comando `csplit [arquivo] [PADRÃO]...` Divide um arquivo em partes com base em padrões de contexto (números de linha ou expressões regulares).. Exemplo de uso: `csplit log.txt /ERRO/ {*}`. Observações: `Ao contrário do 'split', que divide por tamanho ou número de linhas, o 'csplit' divide por conteúdo.`."
Qual é o comando `csplit -f [PREFIXO] [arquivo] [PADRÃO]...` e o que ele faz?,"O comando `csplit -f [PREFIXO] [arquivo] [PADRÃO]...` Define um prefixo para os nomes dos arquivos de saída, em vez do padrão 'xx'.. Exemplo de uso: `csplit -f cap livro.txt /Capítulo/ {*}`. Observações: `Os arquivos de saída serão nomeados como cap00, cap01, etc.`."
Qual é o comando `csplit -n [DIGITOS] [arquivo] [PADRÃO]...` e o que ele faz?,"O comando `csplit -n [DIGITOS] [arquivo] [PADRÃO]...` Define o número de dígitos nos sufixos dos arquivos de saída. O padrão é 2.. Exemplo de uso: `csplit -n 3 dados.log /^\d{4}-\d{2}-\d{2}/ {*}`. Observações: `Com '-n 3', os arquivos seriam nomeados como xx000, xx001, etc.`."
Qual é o comando `csplit -s [arquivo] [PADRÃO]...` e o que ele faz?,O comando `csplit -s [arquivo] [PADRÃO]...` Suprime a contagem de bytes dos arquivos de saída na saída padrão.. Exemplo de uso: `csplit -s grande_log.txt /START/ {*}`. Observações: `Útil para scripts onde a saída verbosa não é desejada.`.
Qual é o comando `csplit -k [arquivo] [PADRÃO]...` e o que ele faz?,"O comando `csplit -k [arquivo] [PADRÃO]...` Mantém os arquivos de saída mesmo que ocorram erros durante o processo.. Exemplo de uso: `csplit -k dados.txt /FIM/ {*}`. Observações: `Por padrão, o 'csplit' remove os arquivos de saída se houver um erro.`."
Qual é o comando `csplit --suppress-matched [arquivo] [PADRÃO]...` e o que ele faz?,"O comando `csplit --suppress-matched [arquivo] [PADRÃO]...` Suprime as linhas que correspondem ao PADRÃO nos arquivos de saída.. Exemplo de uso: `csplit --suppress-matched texto.txt /\s*\n\s*/ {*}`. Observações: `Remove as linhas que serviram como delimitadores, o que pode ser útil para limpar o conteúdo.`."
Qual é o comando `csplit [arquivo] [NUMERO_LINHA]` e o que ele faz?,O comando `csplit [arquivo] [NUMERO_LINHA]` Divide o arquivo antes da linha especificada pelo NUMERO_LINHA.. Exemplo de uso: `csplit documento.txt 100`. Observações: `Cria um arquivo com as primeiras 99 linhas e outro com o restante.`.
Qual é o comando `csplit [arquivo] /REGEX/` e o que ele faz?,O comando `csplit [arquivo] /REGEX/` Divide o arquivo antes da primeira ocorrência da linha que corresponde à REGEX.. Exemplo de uso: `csplit relatorio.txt /Sumário/`. Observações: `Cria um arquivo com o conteúdo antes do 'Sumário' e outro a partir do 'Sumário'.`.
Qual é o comando `csplit [arquivo] /REGEX/ {NUMERO}` e o que ele faz?,O comando `csplit [arquivo] /REGEX/ {NUMERO}` Repete o padrão REGEX o número de vezes especificado.. Exemplo de uso: `csplit lista.txt /Item/ {5}`. Observações: `Divide o arquivo nas primeiras 5 ocorrências da linha que contém 'Item'.`.
Qual é o comando `csplit [arquivo] /REGEX/ {*}` e o que ele faz?,"O comando `csplit [arquivo] /REGEX/ {*}` Repete o padrão REGEX o máximo de vezes possível, dividindo o arquivo em todas as ocorrências.. Exemplo de uso: `csplit capitulos.txt /^Capítulo \d+/ {*}`. Observações: `Ideal para dividir um livro em capítulos, onde cada capítulo começa com 'Capítulo X'.`."
