pergunta,resposta
Qual é o comando `cat [arquivo]` e o que ele faz?,"O comando `cat [arquivo]` Concatena e exibe o conteúdo de arquivos. Se nenhum arquivo for fornecido, lê da entrada padrão.. Exemplo de uso: `cat arquivo.txt`. Observações: `É um dos comandos mais básicos e usados para visualizar o conteúdo de arquivos de texto diretamente no terminal.`."
Qual é o comando `cat [arquivo1] [arquivo2] > [novo_arquivo]` e o que ele faz?,"O comando `cat [arquivo1] [arquivo2] > [novo_arquivo]` Concatena (junta) o conteúdo de múltiplos arquivos em um novo arquivo.. Exemplo de uso: `cat parte1.txt parte2.txt > completo.txt`. Observações: `O operador '>' redireciona a saída, criando ou sobrescrevendo o arquivo de destino.`."
Qual é o comando `cat [arquivo1] [arquivo2] >> [arquivo_existente]` e o que ele faz?,"O comando `cat [arquivo1] [arquivo2] >> [arquivo_existente]` Adiciona (append) o conteúdo de múltiplos arquivos ao final de um arquivo existente.. Exemplo de uso: `cat log_novo.txt >> log_antigo.txt`. Observações: `O operador '>>' redireciona a saída e a anexa ao final do arquivo, sem sobrescrevê-lo.`."
Qual é o comando `cat -n [arquivo]` e o que ele faz?,O comando `cat -n [arquivo]` Exibe o conteúdo do arquivo com todas as linhas numeradas.. Exemplo de uso: `cat -n script.sh`. Observações: `A opção '-n' significa 'number'.`.
Qual é o comando `cat -b [arquivo]` e o que ele faz?,O comando `cat -b [arquivo]` Exibe o conteúdo do arquivo com as linhas não-vazias numeradas.. Exemplo de uso: `cat -b config.conf`. Observações: `A opção '-b' ('number-nonblank') ignora as linhas em branco na contagem.`.
Qual é o comando `cat -s [arquivo]` e o que ele faz?,"O comando `cat -s [arquivo]` Suprime a exibição de múltiplas linhas em branco consecutivas, mostrando apenas uma.. Exemplo de uso: `cat -s texto.txt`. Observações: `A opção '-s' ('squeeze-blank') é útil para limpar a saída de arquivos com muitos espaços em branco.`."
Qual é o comando `cat -E [arquivo]` e o que ele faz?,O comando `cat -E [arquivo]` Mostra um caractere '$' no final de cada linha.. Exemplo de uso: `cat -E meu_arquivo.txt`. Observações: `A opção '-E' ('show-ends') é útil para visualizar espaços em branco ou tabulações no final das linhas.`.
Qual é o comando `cat -T [arquivo]` e o que ele faz?,O comando `cat -T [arquivo]` Exibe os caracteres de tabulação (TAB) como '^I'.. Exemplo de uso: `cat -T codigo.py`. Observações: `A opção '-T' ('show-tabs') ajuda a identificar o uso de tabulações em vez de espaços.`.
Qual é o comando `cat -A [arquivo]` e o que ele faz?,"O comando `cat -A [arquivo]` Mostra todos os caracteres, incluindo os não-imprimíveis. Equivalente a usar as opções '-vET'.. Exemplo de uso: `cat -A arquivo_binario`. Observações: `A opção '-A' ('show-all') é útil para inspecionar o conteúdo de arquivos que não são de texto puro.`."
Qual é o comando `cat << EOF > [arquivo]` e o que ele faz?,O comando `cat << EOF > [arquivo]` Cria um arquivo com o texto digitado diretamente no terminal (Here Document). A entrada termina quando a palavra-chave (EOF) é encontrada no início de uma linha.. Exemplo de uso: `cat << EOF > lista.txt\nitem1\nitem2\nEOF`. Observações: `Uma forma rápida de criar pequenos arquivos de texto sem usar um editor de texto completo.`.
