pergunta,resposta
Qual é o comando `du [DIRETORIO]` e o que ele faz?,"O comando `du [DIRETORIO]` Estima o uso do espaço em disco de arquivos e diretórios. Por padrão, exibe o uso de disco de cada subdiretório e do diretório atual em blocos de 1K.. Exemplo de uso: `du /home/user/documents`. Observações: `'du' significa 'disk usage'.`."
Qual é o comando `du -h [DIRETORIO]` e o que ele faz?,"O comando `du -h [DIRETORIO]` Exibe o uso do espaço em disco em um formato legível por humanos (ex: 1K, 234M, 2G).. Exemplo de uso: `du -h /var/log`. Observações: `A opção '-h' significa 'human-readable'. É a forma mais comum de usar o du para visualização rápida.`."
Qual é o comando `du -s [DIRETORIO]` e o que ele faz?,"O comando `du -s [DIRETORIO]` Exibe apenas o total do uso de disco para cada argumento, sem listar os subdiretórios.. Exemplo de uso: `du -sh /home/user`. Observações: `A opção '-s' significa 'summarize'. Útil para obter o tamanho total de um diretório.`."
Qual é o comando `du -a [DIRETORIO]` e o que ele faz?,"O comando `du -a [DIRETORIO]` Exibe o uso de disco de todos os arquivos, não apenas dos diretórios.. Exemplo de uso: `du -ah /etc/nginx`. Observações: `A opção '-a' significa 'all'.`."
Qual é o comando `du -c [DIRETORIO]` e o que ele faz?,O comando `du -c [DIRETORIO]` Produz um total geral do uso de disco.. Exemplo de uso: `du -ch /var/www /home/user`. Observações: `A opção '-c' significa 'total'.`.
Qual é o comando `du -d [N] [DIRETORIO]` e o que ele faz?,O comando `du -d [N] [DIRETORIO]` Define a profundidade máxima de recursão para N níveis. Exibe o total para um diretório apenas se ele estiver a N ou menos níveis abaixo do argumento da linha de comando.. Exemplo de uso: `du -h -d 1 /var/log`. Observações: `Mostra o uso de disco apenas para o diretório atual e seus subdiretórios de primeiro nível.`.
Qual é o comando `du -x [DIRETORIO]` e o que ele faz?,O comando `du -x [DIRETORIO]` Pula diretórios que estão em sistemas de arquivos diferentes. Útil para não atravessar pontos de montagem.. Exemplo de uso: `du -xh /`. Observações: `A opção '-x' significa 'one-file-system'.`.
Qual é o comando `du --exclude=[PADRAO] [DIRETORIO]` e o que ele faz?,"O comando `du --exclude=[PADRAO] [DIRETORIO]` Exclui arquivos ou diretórios que correspondem ao PADRAO. O PADRAO é um padrão shell (glob), não uma expressão regular.. Exemplo de uso: `du -h --exclude=*.log"" /var/log""`. Observações: `Exclui todos os arquivos .log da contagem.`."
Qual é o comando `du -L [DIRETORIO]` e o que ele faz?,"O comando `du -L [DIRETORIO]` Desreferencia todos os links simbólicos, ou seja, calcula o tamanho do arquivo para o qual o link aponta, em vez do tamanho do link em si.. Exemplo de uso: `du -Lh /var/www/html`. Observações: `A opção '-L' significa 'dereference'.`."
Qual é o comando `du --time [DIRETORIO]` e o que ele faz?,O comando `du --time [DIRETORIO]` Mostra o tempo da última modificação de qualquer arquivo no diretório ou em seus subdiretórios.. Exemplo de uso: `du --time /home/user/documents`. Observações: `Útil para ver quando um diretório foi modificado pela última vez.`.
