"pergunta","resposta"
"Qual é o comando `sort [arquivo]` e o que ele faz?","O comando `sort [arquivo]` Ordena as linhas de um arquivo de texto em ordem alfabética por padrão e exibe o resultado na saída padrão.. Exemplo de uso: `sort lista.txt`. Observações: `Se nenhum arquivo for especificado, lê da entrada padrão. A ordenação padrão é lexicográfica.`."
"Qual é o comando `sort -r [arquivo]` e o que ele faz?","O comando `sort -r [arquivo]` Ordena as linhas em ordem inversa (decrescente).. Exemplo de uso: `sort -r numeros.txt`. Observações: `A opção '-r' significa 'reverse'.`."
"Qual é o comando `sort -n [arquivo]` e o que ele faz?","O comando `sort -n [arquivo]` Ordena as linhas numericamente. Útil para arquivos que contêm números.. Exemplo de uso: `sort -n valores.csv`. Observações: `A opção '-n' significa 'numeric-sort'. É crucial para ordenar números corretamente, pois a ordenação alfabética trataria '10' como menor que '2'.`."
"Qual é o comando `sort -k [CAMPO] [arquivo]` e o que ele faz?","O comando `sort -k [CAMPO] [arquivo]` Ordena com base em uma chave específica (campo). Os campos são delimitados por espaços ou tabulações por padrão.. Exemplo de uso: `sort -k 2 dados.txt`. Observações: `Ordena o arquivo 'dados.txt' pelo segundo campo.`."
"Qual é o comando `sort -t [SEPARADOR] -k [CAMPO] [arquivo]` e o que ele faz?","O comando `sort -t [SEPARADOR] -k [CAMPO] [arquivo]` Define um separador de campo diferente do padrão (espaço/tabulação) e ordena por um campo específico.. Exemplo de uso: `sort -t ',' -k 3 dados.csv`. Observações: `Ordena um arquivo CSV pelo terceiro campo, usando a vírgula como delimitador.`."
"Qual é o comando `sort -u [arquivo]` e o que ele faz?","O comando `sort -u [arquivo]` Remove linhas duplicadas, exibindo apenas uma ocorrência de cada linha única.. Exemplo de uso: `sort -u ips.txt`. Observações: `A opção '-u' significa 'unique'. É frequentemente usada em conjunto com outros comandos para filtrar dados.`."
"Qual é o comando `sort -b [arquivo]` e o que ele faz?","O comando `sort -b [arquivo]` Ignora espaços em branco iniciais ao comparar linhas.. Exemplo de uso: `sort -b lista_com_espacos.txt`. Observações: `A opção '-b' significa 'ignore-leading-blanks'.`."
"Qual é o comando `sort -f [arquivo]` e o que ele faz?","O comando `sort -f [arquivo]` Ignora a distinção entre maiúsculas e minúsculas durante a ordenação.. Exemplo de uso: `sort -f nomes.txt`. Observações: `A opção '-f' significa 'ignore-case'.`."
"Qual é o comando `sort -M [arquivo]` e o que ele faz?","O comando `sort -M [arquivo]` Ordena as linhas com base em abreviações de meses (JAN, FEB, etc.).. Exemplo de uso: `sort -M log_meses.txt`. Observações: `A opção '-M' significa 'month-sort'.`."
"Qual é o comando `sort -V [arquivo]` e o que ele faz?","O comando `sort -V [arquivo]` Ordena as linhas por números de versão (ex: 1.0, 1.1, 1.10, 2.0).. Exemplo de uso: `sort -V versoes_software.txt`. Observações: `A opção '-V' significa 'version-sort'.`."
"Qual é o comando `sort -o [arquivo_saida] [arquivo_entrada]` e o que ele faz?","O comando `sort -o [arquivo_saida] [arquivo_entrada]` Redireciona a saída ordenada para um arquivo, em vez de exibi-la na tela.. Exemplo de uso: `sort -o saida.txt entrada.txt`. Observações: `Útil para salvar o resultado da ordenação em um novo arquivo.`."
